time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing,nb_unavailable
0,0,0,0,16,0,0
13,0,0,0,10,6,0
30,0,0,10,0,6,0
35,10,0,0,0,6,0
36,6,4,0,0,6,0
41,6,0,0,0,10,0
42,0,6,0,0,10,0
47,0,0,0,0,16,0
163,0,0,0,0,16,0
192,0,0,0,0,16,0
199,0,0,0,1,15,0
229,0,0,1,0,15,0
234,1,0,0,0,15,0
317,1,0,0,0,15,0
345,0,1,0,4,11,0
350,0,0,0,0,16,0
354,0,0,0,0,16,0
464,0,0,0,3,13,0
471,0,0,0,0,16,0
502,0,0,0,0,16,0
506,0,0,0,1,15,0
536,0,0,1,0,15,0
541,1,0,0,0,15,0
621,0,1,0,2,13,0
626,0,0,0,0,16,0
653,0,0,0,1,15,0
656,0,0,0,1,15,0
683,0,0,1,0,15,0
688,1,0,0,0,15,0
770,1,0,0,2,13,0
776,0,1,0,5,10,0
781,0,0,0,0,16,0
800,0,0,0,1,15,0
803,0,0,0,0,16,0
919,0,0,0,2,14,0
932,0,0,0,4,12,0
953,0,0,0,2,14,0
954,0,0,0,2,14,0
962,0,0,2,0,14,0
967,2,0,0,0,14,0
1057,1,1,0,0,14,0
1062,1,0,0,0,15,0
1080,0,1,0,4,11,0
1085,0,0,0,0,16,0
1103,0,0,0,1,15,0
1104,0,0,0,0,16,0
1214,0,0,0,1,15,0
1237,0,0,0,1,15,0
1252,0,0,0,0,16,0
1255,0,0,0,0,16,0
1382,0,0,0,0,16,0
1399,0,0,0,0,16,0
1402,0,0,0,0,16,0
1528,0,0,0,1,15,0
1550,0,0,0,0,16,0
1553,0,0,0,0,16,0
1679,0,0,0,1,15,0
1698,0,0,0,0,16,0
1701,0,0,0,1,15,0
1702,0,0,0,0,16,0
1704,0,0,0,2,14,0
1734,0,0,2,0,14,0
1739,2,0,0,0,14,0
1829,0,2,0,3,11,0
1834,0,0,0,0,16,0
1851,0,0,0,0,16,0
1853,0,0,0,0,16,0
1983,0,0,0,0,16,0
2001,0,0,0,0,16,0
2004,0,0,0,3,13,0
2005,0,0,0,1,15,0
2035,0,0,1,0,15,0
2040,1,0,0,0,15,0
2132,1,0,0,0,15,0
2150,0,1,0,1,14,0
2155,0,0,0,0,16,0
2280,0,0,0,0,16,0
2301,0,0,0,2,14,0
2304,0,0,0,0,16,0
2308,0,0,0,0,16,0
2431,0,0,0,1,15,0
2450,0,0,0,0,16,0
2456,0,0,0,1,15,0
2459,0,0,0,1,15,0
2489,0,0,1,0,15,0
2494,1,0,0,0,15,0
2581,0,1,0,4,11,0
2586,0,0,0,0,16,0
2598,0,0,0,0,16,0
2603,0,0,0,0,16,0
2606,0,0,0,2,14,0
2636,0,0,2,0,14,0
2641,2,0,0,0,14,0
2734,0,2,0,5,9,0
2739,0,0,0,1,15,0
2750,0,0,0,0,16,0
2889,0,0,0,1,15,0
2898,0,0,0,0,16,0
2900,0,0,0,0,16,0
3035,0,0,0,0,16,0
3047,0,0,0,0,16,0
3052,0,0,0,1,15,0
3082,0,0,1,0,15,0
3087,1,0,0,0,15,0
3183,0,1,0,5,10,0
3188,0,0,0,0,16,0
3196,0,0,0,0,16,0
3204,0,0,0,1,15,0
3234,0,0,1,0,15,0
3239,1,0,0,0,15,0
