type,starting_time,finish_time,allocated_resources,job_id,submission_time
idle,0,12,0 1 2 3,-1,0
idle,0,13,4 5 6 7 8 9 10,-1,0
idle,0,16,11 12 13,-1,0
idle,0,42,14 15,-1,0
computing,12,163,0 1 2 3,1,12
computing,13,162,4 5 6 7 8 9 10,2,13
computing,16,167,11 12 13,3,16
switching_off,42,47,14 15,-2,42
sleeping,47,309,14 15,-4,47
idle,162,162,4 5 6 7 8 9,-1,162
idle,162,163,10,-1,162
computing,162,313,4 5 6 7 8 9,4,21
idle,163,163,0 1 2 3,-1,163
computing,163,309,0 1 2 3 10,5,28
idle,167,167,11 12 13,-1,167
computing,167,317,11 12 13,8,55
idle,309,314,0 1 2 3 10,-1,309
switching_on,309,314,14 15,-3,309
idle,313,313,4 5 6 7,-1,313
idle,313,317,8 9,-1,313
computing,313,462,4 5 6 7,7,46
idle,314,314,14 15,-1,314
computing,314,465,0 1 2 3 10 14 15,6,42
idle,317,317,11 12,-1,317
idle,317,347,13,-1,317
computing,317,468,8 9 11 12,9,56
switching_off,347,352,13,-2,347
sleeping,352,462,13,-4,352
idle,462,467,4 5 6 7,-1,462
switching_on,462,467,13,-3,462
idle,465,465,0 1 2 3 10 14 15,-1,465
computing,465,611,0 1 2 3,11,64
computing,465,614,10 14 15,13,71
idle,467,467,13,-1,467
computing,467,617,4 5 6 7 13,10,57
idle,468,468,8 9 11 12,-1,468
computing,468,624,8 9 11 12,12,65
idle,611,611,0 1 2 3,-1,611
computing,611,758,0 1 2 3,14,80
idle,614,614,10 14 15,-1,614
computing,614,768,10 14 15,21,114
idle,617,617,4 5 6 7,-1,617
idle,617,647,13,-1,617
computing,617,765,4 5 6 7,15,84
idle,624,624,8 9 11 12,-1,624
computing,624,772,8 9 11 12,16,90
switching_off,647,652,13,-2,647
sleeping,652,765,13,-4,652
idle,758,758,0 1 2 3,-1,758
computing,758,909,0 1 2 3,17,100
idle,765,770,4 5 6 7,-1,765
switching_on,765,770,13,-3,765
idle,768,768,10 14,-1,768
idle,768,772,15,-1,768
computing,768,921,10 14,90,490
idle,770,770,13,-1,770
computing,770,922,4 5 6 7 13,18,102
idle,772,772,8 9 11 12,-1,772
computing,772,923,8 9 11 12 15,19,102
idle,909,909,0 1 2 3,-1,909
computing,909,1060,0 1 2 3,20,107
idle,921,921,10 14,-1,921
computing,921,1070,10 14,125,647
idle,922,922,4 5 6 7,-1,922
idle,922,952,13,-1,922
computing,922,1073,4 5 6 7,22,117
idle,923,923,8 9 11 12,-1,923
idle,923,953,15,-1,923
computing,923,1071,8 9 11 12,23,118
switching_off,952,957,13,-2,952
switching_off,953,958,15,-2,953
sleeping,957,1060,13,-4,957
sleeping,958,1070,15,-4,958
idle,1060,1065,0 1 2 3,-1,1060
switching_on,1060,1065,13,-3,1060
idle,1065,1065,13,-1,1065
computing,1065,1215,0 1 2 3 13,24,127
idle,1070,1075,10 14,-1,1070
switching_on,1070,1075,15,-3,1070
idle,1071,1071,8 9 11,-1,1071
idle,1071,1073,12,-1,1071
computing,1071,1222,8 9 11,27,168
idle,1073,1073,4 5 6 7,-1,1073
computing,1073,1223,4 5 6 7 12,26,155
idle,1075,1075,15,-1,1075
