dvfs_mode,state,start_time,finish_time,nodes,job_id
base,active,0.0,50.0,9 10 11 12,3.0
base,active,0.0,51.0,0 1 2 3 4,1.0
base,active,0.0,51.0,5 6 7 8,2.0
base,active,0.0,52.0,13 14 15,5.0
base,active,50.0,100.0,9 10 11 12,4.0
base,active,51.0,52.0,7 8,-1.0
base,active,51.0,103.0,5 6,16.0
base,active,51.0,105.0,0 1 2 3 4,6.0
base,active,52.0,103.0,7 8 13 14 15,7.0
base,active,100.0,147.0,9 10 11 12,8.0
base,active,103.0,152.0,13 14 15,10.0
base,active,103.0,153.0,5 6 7 8,9.0
base,active,105.0,154.0,3 4,20.0
base,active,105.0,157.0,0 1 2,11.0
base,active,147.0,195.0,9 10 11,12.0
base,active,147.0,199.0,12,44.0
base,active,152.0,202.0,13 14 15,13.0
base,active,153.0,202.0,8,61.0
base,active,153.0,204.0,5 6 7,14.0
base,active,154.0,157.0,4,-1.0
base,active,154.0,205.0,3,91.0
base,active,157.0,207.0,0 1 2 4,15.0
base,active,195.0,199.0,9 10 11,-1.0
base,active,199.0,248.0,9 10 11 12,17.0
base,active,202.0,249.0,8 13 14 15,18.0
base,active,204.0,205.0,5 6 7,-1.0
base,active,205.0,256.0,3 5 6 7,19.0
base,active,207.0,237.0,4,-1.0
base,active,207.0,254.0,0 1 2,22.0
base,switching_off,237.0,242.0,4,-2.0
base,sleeping,242.0,248.0,4,-4.0
base,active,248.0,253.0,9 10 11 12,-1.0
base,switching_on,248.0,253.0,4,-3.0
base,active,249.0,254.0,15,-1.0
base,active,249.0,297.0,8 13 14,23.0
base,active,253.0,301.0,4 9 10 11 12,21.0
base,active,254.0,304.0,0 1,24.0
base,active,254.0,308.0,2 15,26.0
base,active,256.0,286.0,7,-1.0
base,active,256.0,306.0,3 5 6,25.0
base,switching_off,286.0,291.0,7,-2.0
base,sleeping,291.0,297.0,7,-4.0
base,active,297.0,302.0,8 13 14,-1.0
base,switching_on,297.0,302.0,7,-3.0
base,active,301.0,351.0,4 9 10 11 12,27.0
base,active,302.0,351.0,7 8 13 14,28.0
base,active,304.0,353.0,0 1,36.0
base,active,306.0,353.0,3 5 6,29.0
base,active,308.0,357.0,2 15,42.0
base,active,351.0,399.0,4 7 8 9,30.0
base,active,351.0,399.0,10 11 12 13 14,31.0
base,active,353.0,403.0,0 1 3 5 6,32.0
base,active,357.0,409.0,2 15,43.0
base,active,399.0,403.0,14,-1.0
base,active,399.0,447.0,12 13,53.0
base,active,399.0,448.0,4 7 8,33.0
base,active,399.0,448.0,9 10 11,34.0
base,active,403.0,450.0,0 1 3 5 6 14,35.0
base,active,409.0,459.0,2 15,67.0
base,active,447.0,499.0,12 13,71.0
base,active,448.0,450.0,11,-1.0
base,active,448.0,498.0,4 7 8 9 10,37.0
base,active,450.0,459.0,14,-1.0
base,active,450.0,499.0,0 1 3 5 6 11,38.0
base,active,459.0,508.0,2 14 15,39.0
base,active,498.0,549.0,9 10,85.0
base,active,498.0,551.0,4 7 8,40.0
base,active,499.0,552.0,6 11 12 13,45.0
base,active,499.0,554.0,0 1 3 5,41.0
base,active,508.0,538.0,2 14 15,-1.0
base,switching_off,538.0,543.0,2 14 15,-2.0
base,sleeping,543.0,549.0,2 14,-4.0
base,sleeping,543.0,551.0,15,-4.0
base,active,549.0,554.0,9 10,-1.0
base,switching_on,549.0,554.0,2 14,-3.0
base,active,551.0,556.0,4 7 8,-1.0
base,switching_on,551.0,556.0,15,-3.0
base,active,552.0,602.0,6 11 12 13,48.0
base,active,554.0,603.0,0 1 3 5,49.0
base,active,554.0,604.0,2 9 10 14,46.0
base,active,556.0,604.0,4 7 8 15,47.0
base,active,602.0,652.0,6 11 12 13,50.0
base,active,603.0,604.0,5,-1.0
base,active,603.0,655.0,0 1 3,51.0
base,active,604.0,634.0,15,-1.0
base,active,604.0,654.0,2 4 5 7 8,52.0
base,active,604.0,654.0,9 10 14,54.0
base,switching_off,634.0,639.0,15,-2.0
base,sleeping,639.0,652.0,15,-4.0
base,active,652.0,657.0,6 11 12 13,-1.0
base,switching_on,652.0,657.0,15,-3.0
base,active,654.0,684.0,14,-1.0
base,active,654.0,704.0,2 4 5 7,56.0
base,active,654.0,704.0,8 9 10,57.0
base,active,655.0,705.0,0 1 3,58.0
base,active,657.0,708.0,6 11 12 13 15,55.0
base,switching_off,684.0,689.0,14,-2.0
base,sleeping,689.0,704.0,14,-4.0
base,active,704.0,709.0,8 9 10,-1.0
base,switching_on,704.0,709.0,14,-3.0
base,active,704.0,752.0,2 4 5 7,59.0
base,active,705.0,708.0,0 1 3,-1.0
