type,starting_time,finish_time,allocated_resources,job_id,submission_time
idle,0,5,0,-1,0
idle,0,14,1,-1,0
idle,0,25,2 3,-1,0
idle,0,30,4 5 6 7,-1,0
computing,5,54,0,1,5
computing,14,66,1,2,14
computing,25,73,2 3,3,25
switching_off,30,35,4 5 6 7,-2,30
sleeping,35,52,4 5,-4,35
sleeping,35,58,6 7,-4,35
switching_on,52,57,4 5,-3,52
idle,54,57,0,-1,54
idle,57,57,4 5,-1,57
computing,57,108,4 5,4,52
computing,57,109,0,5,57
switching_on,58,63,6 7,-3,58
idle,63,63,6 7,-1,63
computing,63,110,6 7,6,58
idle,66,73,1,-1,66
idle,73,73,2,-1,73
idle,73,103,3,-1,73
computing,73,124,1 2,7,59
switching_off,103,108,3,-2,103
sleeping,108,108,3,-4,108
idle,108,113,4 5,-1,108
switching_on,108,113,3,-3,108
idle,109,109,0,-1,109
computing,109,159,0,9,77
idle,110,110,6,-1,110
idle,110,124,7,-1,110
computing,110,159,6,10,90
idle,113,113,3,-1,113
computing,113,162,4 5 3,8,60
idle,124,124,1 2,-1,124
computing,124,172,7,12,95
computing,124,173,1 2,11,91
idle,159,159,0 6,-1,159
computing,159,206,0 6,13,114
idle,162,162,3 4 5,-1,162
computing,162,213,3,14,117
computing,162,213,4 5,15,131
idle,172,172,7,-1,172
computing,172,222,7,16,135
idle,173,173,1 2,-1,173
computing,173,221,1 2,17,135
idle,206,206,0 6,-1,206
computing,206,256,0 6,18,151
idle,213,213,3 4 5,-1,213
computing,213,263,3 4 5,19,154
idle,221,222,1 2,-1,221
idle,222,222,7,-1,222
computing,222,271,1 2 7,20,156
idle,256,256,0,-1,256
idle,256,263,6,-1,256
computing,256,306,0,21,174
idle,263,263,3 4 5,-1,263
computing,263,314,3 4,22,179
computing,263,315,5 6,23,185
idle,271,271,1 2,-1,271
idle,271,301,7,-1,271
computing,271,318,2,25,206
computing,271,323,1,24,193
switching_off,301,306,7,-2,301
idle,306,314,0,-1,306
sleeping,306,323,7,-4,306
idle,314,314,3 4,-1,314
computing,314,364,0 3 4,26,217
idle,315,315,5 6,-1,315
computing,315,366,5 6,27,234
idle,318,328,2,-1,318
idle,323,328,1,-1,323
switching_on,323,328,7,-3,323
idle,328,328,7,-1,328
computing,328,379,1 2 7,28,239
idle,364,364,0 3 4,-1,364
computing,364,415,0,29,241
computing,364,415,3 4,30,253
idle,366,366,5 6,-1,366
computing,366,413,5 6,31,292
idle,379,379,1 2,-1,379
idle,379,409,7,-1,379
computing,379,429,1,32,294
computing,379,431,2,33,303
switching_off,409,414,7,-2,409
idle,413,419,5 6,-1,413
sleeping,414,414,7,-4,414
switching_on,414,419,7,-3,414
idle,415,415,0 3 4,-1,415
computing,415,465,4,36,349
computing,415,467,0 3,35,346
idle,419,419,7,-1,419
computing,419,468,5 6 7,34,318
idle,429,431,1,-1,429
idle,431,431,2,-1,431
computing,431,479,1 2,37,351
idle,465,467,4,-1,465
idle,467,467,0 3,-1,467
computing,467,514,4,39,371
computing,467,518,0 3,38,354
idle,468,468,5 6 7,-1,468
computing,468,516,6,41,404
computing,468,518,5,40,374
computing,468,518,7,42,407
idle,479,509,1 2,-1,479
switching_off,509,514,1 2,-2,509
sleeping,514,514,1 2,-4,514
idle,514,519,4,-1,514
switching_on,514,519,1 2,-3,514
idle,516,516,6,-1,516
computing,516,570,6,44,420
idle,518,518,0 3 5 7,-1,518
computing,518,566,0,45,423
computing,518,569,7,47,432
computing,518,571,3 5,46,426
idle,519,519,1 2,-1,519
computing,519,565,4 1 2,43,408
idle,565,565,1 2,-1,565
idle,565,566,4,-1,565
computing,565,614,1 2,48,432
idle,566,566,0,-1,566
computing,566,617,0 4,49,434
idle,569,569,7,-1,569
computing,569,620,7,50,448
idle,570,600,6,-1,570
idle,571,571,3 5,-1,571
computing,571,623,3 5,51,452
switching_off,600,605,6,-2,600
sleeping,605,617,6,-4,605
idle,614,614,1 2,-1,614
computing,614,667,1 2,52,455
idle,617,617,0 4,-1,617
switching_on,617,622,6,-3,617
computing,617,665,0 4,53,457
idle,620,623,7,-1,620
idle,622,622,6,-1,622
computing,622,675,6,54,459
idle,623,623,3 5,-1,623
computing,623,674,3 5 7,55,459
idle,665,665,0 4,-1,665
computing,665,714,0 4,56,471
idle,667,667,1 2,-1,667
computing,667,715,1 2,57,491
idle,674,674,3,-1,674
idle,674,675,5 7,-1,674
computing,674,725,3,58,497
idle,675,675,6,-1,675
computing,675,728,5 6 7,59,505
idle,714,714,0 4,-1,714
computing,714,766,0 4,60,506
idle,715,715,1 2,-1,715
computing,715,767,1 2,61,514
idle,725,725,3,-1,725
computing,725,777,3,62,518
idle,728,728,5 6 7,-1,728
computing,728,777,5 6,63,530
computing,728,778,7,64,548
idle,766,766,0 4,-1,766
computing,766,819,0,65,549
computing,766,821,4,66,550
idle,767,767,1 2,-1,767
computing,767,816,1,67,559
computing,767,816,2,68,581
idle,777,777,3 5,-1,777
idle,777,778,6,-1,777
computing,777,829,3 5,69,584
idle,778,778,7,-1,778
computing,778,828,6 7,70,588
idle,816,816,1,-1,816
idle,816,821,2,-1,816
computing,816,865,1,71,590
idle,819,821,0,-1,819
idle,821,821,4,-1,821
computing,821,867,0 2 4,72,595
idle,828,828,6 7,-1,828
computing,828,880,6 7,73,596
idle,829,859,3 5,-1,829
switching_off,859,864,3 5,-2,859
sleeping,864,865,3 5,-4,864
idle,865,870,1,-1,865
switching_on,865,870,3 5,-3,865
idle,867,867,0 2 4,-1,867
computing,867,919,0 2 4,75,608
idle,870,870,3 5,-1,870
computing,870,918,1 3 5,74,601
idle,880,880,6 7,-1,880
computing,880,929,6,76,609
computing,880,929,7,77,614
idle,918,918,1 3 5,-1,918
computing,918,967,5,80,631
computing,918,968,1,78,630
computing,918,968,3,79,631
idle,919,919,0 2,-1,919
idle,919,929,4,-1,919
computing,919,967,0 2,81,645
idle,929,929,6,-1,929
idle,929,959,7,-1,929
computing,929,980,4 6,82,645
switching_off,959,964,7,-2,959
sleeping,964,967,7,-4,964
idle,967,967,0 2 5,-1,967
switching_on,967,972,7,-3,967
computing,967,1013,0 2 5,83,646
idle,968,968,1 3,-1,968
computing,968,1018,3,86,678
computing,968,1019,1,85,677
idle,972,972,7,-1,972
computing,972,1019,7,84,661
idle,980,1010,4 6,-1,980
switching_off,1010,1015,4 6,-2,1010
idle,1013,1013,0 2 5,-1,1013
computing,1013,1061,0 2 5,87,691
sleeping,1015,1015,4 6,-4,1015
switching_on,1015,1020,4 6,-3,1015
idle,1018,1018,3,-1,1018
computing,1018,1065,3,89,736
idle,1019,1049,1 7,-1,1019
idle,1020,1020,4 6,-1,1020
computing,1020,1071,4 6,88,695
switching_off,1049,1054,1 7,-2,1049
sleeping,1054,1061,1 7,-4,1054
idle,1061,1061,0 2 5,-1,1061
switching_on,1061,1066,1 7,-3,1061
computing,1061,1111,0 2 5,90,746
idle,1065,1071,3,-1,1065
idle,1066,1066,1 7,-1,1066
computing,1066,1116,1 7,91,752
idle,1071,1071,4,-1,1071
idle,1071,1101,6,-1,1071
computing,1071,1121,3 4,92,767
switching_off,1101,1106,6,-2,1101
sleeping,1106,1116,6,-4,1106
idle,1111,1111,0 2 5,-1,1111
computing,1111,1161,0 2 5,93,771
idle,1116,1121,1 7,-1,1116
switching_on,1116,1121,6,-3,1116
idle,1121,1121,3 4 6,-1,1121
computing,1121,1173,1 7 6,94,774
computing,1121,1175,3 4,95,786
idle,1161,1161,0 2 5,-1,1161
computing,1161,1210,0,96,800
computing,1161,1210,2 5,97,807
idle,1173,1173,1 6 7,-1,1173
computing,1173,1222,1 6 7,98,809
idle,1175,1175,3,-1,1175
idle,1175,1205,4,-1,1175
computing,1175,1222,3,99,813
switching_off,1205,1210,4,-2,1205
idle,1210,1210,0 2,-1,1210
idle,1210,1240,5,-1,1210
sleeping,1210,1262,4,-4,1210
computing,1210,1262,0 2,100,843
idle,1222,1252,1 3 6 7,-1,1222
switching_off,1240,1245,5,-2,1240
sleeping,1245,1262,5,-4,1245
switching_off,1252,1257,1 3 6 7,-2,1252
sleeping,1257,1262,1 3 6 7,-4,1257
idle,1262,1262,0 2,-1,1262
