type,starting_time,finish_time,allocated_resources,job_id,submission_time
idle,0,5,0,-1,0
idle,0,14,1,-1,0
idle,0,25,2 3,-1,0
idle,0,30,4 5 6 7,-1,0
computing,5,54,0,1,5
computing,14,66,1,2,14
computing,25,73,2 3,3,25
switching_off,30,35,4 5 6 7,-2,30
sleeping,35,52,4 5,-4,35
sleeping,35,58,6 7,-4,35
switching_on,52,52,4 5,-3,52
switching_on,52,57,4 5,-3,52
idle,54,57,0,-1,54
idle,57,57,4 4 5 5,-1,57
computing,57,108,4 5,4,52
computing,57,109,0,5,57
switching_on,58,58,6 7,-3,58
switching_on,58,63,6 7,-3,58
idle,63,63,6 6 7 7,-1,63
computing,63,110,6 7,6,58
idle,66,73,1,-1,66
idle,73,73,2,-1,73
idle,73,108,3,-1,73
computing,73,124,1 2,7,59
idle,108,108,4 5,-1,108
computing,108,157,3 4 5,8,60
idle,109,109,0,-1,109
computing,109,159,0,9,77
idle,110,110,6,-1,110
idle,110,124,7,-1,110
computing,110,159,6,10,90
idle,124,124,1 2,-1,124
computing,124,172,7,12,95
computing,124,173,1 2,11,91
idle,157,157,3 4 5,-1,157
computing,157,204,3 4,13,114
computing,157,208,5,14,117
idle,159,159,0 6,-1,159
computing,159,210,0 6,15,131
idle,172,172,7,-1,172
computing,172,222,7,16,135
idle,173,173,1 2,-1,173
computing,173,221,1 2,17,135
idle,204,204,3 4,-1,204
computing,204,254,3 4,18,151
idle,208,210,5,-1,208
idle,210,210,0 6,-1,210
computing,210,260,0 5 6,19,154
idle,221,222,1 2,-1,221
idle,222,222,7,-1,222
computing,222,271,1 2 7,20,156
idle,254,254,3,-1,254
idle,254,260,4,-1,254
computing,254,304,3,21,174
idle,260,260,0 5 6,-1,260
computing,260,311,0 4,22,179
computing,260,312,5 6,23,185
idle,271,271,1 2,-1,271
idle,271,301,7,-1,271
computing,271,318,2,25,206
computing,271,323,1,24,193
switching_off,301,306,7,-2,301
idle,304,311,3,-1,304
sleeping,306,318,7,-4,306
idle,311,311,0 4,-1,311
computing,311,361,0 3 4,26,217
idle,312,312,5 6,-1,312
computing,312,363,5 6,27,234
idle,318,323,2,-1,318
switching_on,318,323,7,-3,318
idle,323,323,1 7,-1,323
computing,323,374,1 2 7,28,239
idle,361,361,0 3 4,-1,361
computing,361,412,0,29,241
computing,361,412,3 4,30,253
idle,363,363,5 6,-1,363
computing,363,410,5 6,31,292
idle,374,374,1 2,-1,374
idle,374,410,7,-1,374
computing,374,424,1,32,294
computing,374,426,2,33,303
idle,410,410,5 6,-1,410
computing,410,459,5 6 7,34,318
idle,412,412,0 3 4,-1,412
computing,412,462,4,36,349
computing,412,464,0 3,35,346
idle,424,426,1,-1,424
idle,426,426,2,-1,426
computing,426,474,1 2,37,351
idle,459,459,5 6 7,-1,459
computing,459,506,7,39,371
computing,459,510,5 6,38,354
idle,462,462,4,-1,462
computing,462,512,4,40,374
idle,464,464,0 3,-1,464
computing,464,512,0,41,404
computing,464,514,3,42,407
idle,474,506,1 2,-1,474
idle,506,506,7,-1,506
computing,506,552,1 2 7,43,408
idle,510,510,5 6,-1,510
computing,510,558,6,45,423
computing,510,564,5,44,420
idle,512,512,0 4,-1,512
computing,512,565,0 4,46,426
idle,514,514,3,-1,514
computing,514,565,3,47,432
idle,552,552,1 2,-1,552
idle,552,558,7,-1,552
computing,552,601,1 2,48,432
idle,558,558,6,-1,558
computing,558,609,6 7,49,434
idle,564,564,5,-1,564
computing,564,615,5,50,448
idle,565,565,0 3,-1,565
idle,565,609,4,-1,565
computing,565,617,0 3,51,452
idle,601,601,1 2,-1,601
computing,601,654,1 2,52,455
idle,609,609,6 7,-1,609
computing,609,657,4 6,53,457
computing,609,662,7,54,459
idle,615,617,5,-1,615
idle,617,617,0 3,-1,617
computing,617,668,0 3 5,55,459
idle,654,654,1 2,-1,654
computing,654,703,1 2,56,471
idle,657,657,4 6,-1,657
computing,657,705,4 6,57,491
idle,662,662,7,-1,662
computing,662,713,7,58,497
idle,668,668,0 3 5,-1,668
computing,668,721,0 3 5,59,505
idle,703,703,1 2,-1,703
computing,703,755,1 2,60,506
idle,705,705,4 6,-1,705
computing,705,757,4 6,61,514
idle,713,713,7,-1,713
computing,713,765,7,62,518
idle,721,721,0 3 5,-1,721
computing,721,770,0 3,63,530
computing,721,771,5,64,548
idle,755,755,1 2,-1,755
computing,755,808,1,65,549
computing,755,810,2,66,550
idle,757,757,4 6,-1,757
computing,757,806,4,67,559
computing,757,806,6,68,581
idle,765,771,7,-1,765
idle,770,770,0 3,-1,770
computing,770,822,0 3,69,584
idle,771,771,5,-1,771
computing,771,821,5 7,70,588
idle,806,806,4,-1,806
idle,806,810,6,-1,806
computing,806,855,4,71,590
idle,808,810,1,-1,808
idle,810,810,2,-1,810
computing,810,856,1 2 6,72,595
idle,821,821,5 7,-1,821
computing,821,873,5 7,73,596
idle,822,855,0 3,-1,822
idle,855,855,4,-1,855
computing,855,903,0 3 4,74,601
idle,856,856,1 2 6,-1,856
computing,856,908,1 2 6,75,608
idle,873,873,5 7,-1,873
computing,873,922,5,76,609
computing,873,922,7,77,614
idle,903,903,0 3 4,-1,903
computing,903,952,4,80,631
computing,903,953,0,78,630
computing,903,953,3,79,631
idle,908,908,1 2,-1,908
idle,908,922,6,-1,908
computing,908,956,1 2,81,645
idle,922,922,5,-1,922
idle,922,953,7,-1,922
computing,922,973,5 6,82,645
idle,952,953,4,-1,952
idle,953,953,0 3,-1,953
computing,953,999,0 3 4,83,646
computing,953,1000,7,84,661
idle,956,956,1 2,-1,956
computing,956,1006,2,86,678
computing,956,1007,1,85,677
idle,973,999,5 6,-1,973
idle,999,999,0 3 4,-1,999
computing,999,1047,0 3 4,87,691
computing,999,1050,5 6,88,695
idle,1000,1000,7,-1,1000
computing,1000,1047,7,89,736
idle,1006,1047,2,-1,1006
idle,1007,1047,1,-1,1007
idle,1047,1047,0 3 4,-1,1047
idle,1047,1077,7,-1,1047
computing,1047,1097,0 1 2,90,746
computing,1047,1097,3 4,91,752
idle,1050,1050,5 6,-1,1050
computing,1050,1100,5 6,92,767
switching_off,1077,1082,7,-2,1077
sleeping,1082,1092,7,-4,1082
switching_on,1092,1097,7,-3,1092
idle,1097,1097,0 1 2 3 4 7,-1,1097
computing,1097,1147,0 1 2,93,771
computing,1097,1149,3 4 7,94,774
idle,1100,1100,5 6,-1,1100
computing,1100,1154,5 6,95,786
idle,1147,1147,0 1 2,-1,1147
computing,1147,1196,0,96,800
computing,1147,1196,1 2,97,807
idle,1149,1149,3 4 7,-1,1149
computing,1149,1198,3 4 7,98,809
idle,1154,1154,5,-1,1154
idle,1154,1184,6,-1,1154
computing,1154,1201,5,99,813
switching_off,1184,1189,6,-2,1184
sleeping,1189,1248,6,-4,1189
idle,1196,1196,0 1,-1,1196
idle,1196,1226,2,-1,1196
computing,1196,1248,0 1,100,843
idle,1198,1228,3 4 7,-1,1198
idle,1201,1231,5,-1,1201
switching_off,1226,1231,2,-2,1226
switching_off,1228,1233,3 4 7,-2,1228
switching_off,1231,1236,5,-2,1231
sleeping,1231,1248,2,-4,1231
sleeping,1233,1248,3 4 7,-4,1233
sleeping,1236,1248,5,-4,1236
idle,1248,1248,0 1,-1,1248
