type,starting_time,finish_time,allocated_resources,job_id,submission_time
idle,0,1,0 1 2 3,-1,0
idle,0,3,4 5 6,-1,0
idle,0,30,7,-1,0
computing,1,52,0 1 2 3,1,1
computing,3,51,4 5 6,2,3
switching_off,30,35,7,-2,30
sleeping,35,40,7,-4,35
switching_on,40,45,7,-3,40
idle,45,45,7,-1,45
computing,45,98,7,9,40
idle,51,51,4 5 6,-1,51
computing,51,101,4 5 6,3,8
idle,52,52,0 1,-1,52
idle,52,82,2 3,-1,52
computing,52,102,0 1,4,14
switching_off,82,87,2 3,-2,82
sleeping,87,96,2 3,-4,87
switching_on,96,101,2 3,-3,96
idle,98,102,7,-1,98
idle,101,101,2 3 4 5 6,-1,101
computing,101,149,2 3,14,71
computing,101,152,4 5 6,5,19
idle,102,102,0 1,-1,102
computing,102,151,0 1 7,6,19
idle,149,149,2 3,-1,149
computing,149,198,2 3,26,110
idle,151,151,0 1 7,-1,151
computing,151,198,0 1 7,7,20
idle,152,152,4 5 6,-1,152
computing,152,201,4 5 6,10,49
idle,198,198,0 1 2 3 7,-1,198
computing,198,246,7,33,131
computing,198,250,0 1 2 3,8,24
idle,201,201,4 5 6,-1,201
computing,201,250,4 5 6,11,55
idle,246,246,7,-1,246
computing,246,297,7,42,175
idle,250,250,0 1 2 3 4,-1,250
idle,250,280,5 6,-1,250
computing,250,303,0 1 2 3 4,12,59
switching_off,280,285,5 6,-2,280
sleeping,285,297,5 6,-4,285
idle,297,302,7,-1,297
switching_on,297,302,5 6,-3,297
idle,302,302,5 6,-1,302
computing,302,353,7 5 6,13,60
idle,303,303,0 1 2 3 4,-1,303
computing,303,353,0 1 2 3 4,15,71
idle,353,353,0 1 2 3 4 5 6 7,-1,353
computing,353,404,0 1 2,16,71
computing,353,404,3 4 5,17,73
computing,353,404,6 7,56,243
idle,404,404,0 1 2 3 4 5 6 7,-1,404
computing,404,452,3 4 5 6,19,77
computing,404,454,7,74,317
computing,404,456,0 1 2,18,77
idle,452,452,3 4 5 6,-1,452
computing,452,503,3 4 5 6,20,84
idle,454,456,7,-1,454
idle,456,456,0 1 2,-1,456
computing,456,505,0 1 2 7,21,85
idle,503,503,3 4 5 6,-1,503
computing,503,553,3 4 5 6,22,89
idle,505,505,0 1 2 7,-1,505
computing,505,553,0 1 2,23,96
computing,505,554,7,86,361
idle,553,553,0 1 2 3 4 5 6,-1,553
computing,553,600,0 1 2 3 4,24,100
computing,553,604,5 6,58,254
idle,554,554,7,-1,554
computing,554,603,7,92,393
idle,600,600,0 1 2 3 4,-1,600
computing,600,650,0 1 2 3,25,103
computing,600,653,4,96,411
idle,603,633,7,-1,603
