job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy
1,w0,100,0,1,51,0,COMPLETED_WALLTIME_REACHED,0,51,51,0,51,1.0,0,-1
2,w0,100,1,3,52,0,COMPLETED_WALLTIME_REACHED,1,52,53,0,52,1.0,1 2 3,-1
3,w0,100,33,2,45,0,COMPLETED_WALLTIME_REACHED,40,45,85,7,52,1.1555555555555554,4 5,-1
4,w0,100,34,3,50,0,COMPLETED_WALLTIME_REACHED,51,50,101,17,67,1.34,0 6 7,-1
5,w0,100,44,4,46,0,COMPLETED_WALLTIME_REACHED,85,46,131,41,87,1.891304347826087,2 3 4 5,-1
6,w0,100,49,4,51,0,COMPLETED_WALLTIME_REACHED,101,51,152,52,103,2.019607843137255,0 1 6 7,-1
7,w0,100,52,3,48,0,COMPLETED_WALLTIME_REACHED,131,48,179,79,127,2.6458333333333335,2 3 4,-1
8,w0,100,57,3,50,0,COMPLETED_WALLTIME_REACHED,152,50,202,95,145,2.9,0 1 5,-1
9,w0,100,60,4,48,0,COMPLETED_WALLTIME_REACHED,179,48,227,119,167,3.4791666666666665,2 3 4 6,-1
10,w0,100,62,3,51,0,COMPLETED_WALLTIME_REACHED,202,51,253,140,191,3.7450980392156863,0 1 5,-1
11,w0,100,79,5,53,0,COMPLETED_WALLTIME_REACHED,227,53,280,148,201,3.792452830188679,2 3 4 6 7,-1
13,w0,100,84,3,50,0,COMPLETED_WALLTIME_REACHED,253,50,303,169,219,4.38,0 1 5,-1
12,w0,100,83,5,50,0,COMPLETED_WALLTIME_REACHED,280,50,330,197,247,4.94,2 3 4 6 7,-1
16,w0,100,103,3,48,0,COMPLETED_WALLTIME_REACHED,303,48,351,200,248,5.166666666666667,0 1 5,-1
14,w0,100,85,4,53,0,COMPLETED_WALLTIME_REACHED,330,53,383,245,298,5.622641509433962,2 3 4 6,-1
17,w0,100,105,3,49,0,COMPLETED_WALLTIME_REACHED,351,49,400,246,295,6.020408163265306,0 1 5,-1
15,w0,100,93,5,50,0,COMPLETED_WALLTIME_REACHED,383,50,433,290,340,6.8,2 3 4 6 7,-1
19,w0,100,109,3,51,0,COMPLETED_WALLTIME_REACHED,400,51,451,291,342,6.705882352941177,0 1 5,-1
18,w0,100,108,5,49,0,COMPLETED_WALLTIME_REACHED,433,49,482,325,374,7.63265306122449,2 3 4 6 7,-1
20,w0,100,115,3,51,0,COMPLETED_WALLTIME_REACHED,451,51,502,336,387,7.588235294117647,0 1 5,-1
21,w0,100,115,2,50,0,COMPLETED_WALLTIME_REACHED,482,50,532,367,417,8.34,2 3,-1
29,w0,100,144,2,49,0,COMPLETED_WALLTIME_REACHED,482,49,531,338,387,7.8979591836734695,4 6,-1
22,w0,100,119,4,46,0,COMPLETED_WALLTIME_REACHED,502,46,548,383,429,9.326086956521738,0 1 5 7,-1
25,w0,100,129,3,49,0,COMPLETED_WALLTIME_REACHED,532,49,581,403,452,9.224489795918368,2 3 4,-1
23,w0,100,119,5,52,0,COMPLETED_WALLTIME_REACHED,548,52,600,429,481,9.25,0 1 5 6 7,-1
26,w0,100,132,3,50,0,COMPLETED_WALLTIME_REACHED,581,50,631,449,499,9.98,2 3 4,-1
24,w0,100,127,4,53,0,COMPLETED_WALLTIME_REACHED,600,53,653,473,526,9.924528301886792,0 1 5 6,-1
27,w0,100,133,3,50,0,COMPLETED_WALLTIME_REACHED,631,50,681,498,548,10.96,2 3 4,-1
28,w0,100,137,4,52,0,COMPLETED_WALLTIME_REACHED,653,52,705,516,568,10.923076923076923,0 1 5 6,-1
30,w0,100,146,4,51,0,COMPLETED_WALLTIME_REACHED,681,51,732,535,586,11.490196078431373,2 3 4 7,-1
