type,starting_time,finish_time,allocated_resources,job_id,submission_time
idle,0,0,0,-1,0
idle,0,1,1 2 3,-1,0
idle,0,30,4 5 6 7,-1,0
computing,0,51,0,1,0
computing,1,53,1 2 3,2,1
switching_off,30,35,4 5 6 7,-2,30
sleeping,35,35,4 5,-4,35
switching_on,35,40,4 5,-3,35
sleeping,35,46,6 7,-4,35
idle,40,40,4 5,-1,40
computing,40,85,4 5,3,33
switching_on,46,51,6 7,-3,46
idle,51,51,0 6 7,-1,51
computing,51,101,0 6 7,4,34
idle,53,83,1,-1,53
idle,53,85,2 3,-1,53
switching_off,83,88,1,-2,83
idle,85,85,4 5,-1,85
computing,85,131,2 3 4 5,5,44
sleeping,88,96,1,-4,88
switching_on,96,101,1,-3,96
idle,101,101,0 1 6 7,-1,101
computing,101,152,0 1 6 7,6,49
idle,131,131,2 3 4,-1,131
idle,131,152,5,-1,131
computing,131,179,2 3 4,7,52
idle,152,152,0 1,-1,152
idle,152,179,6,-1,152
idle,152,182,7,-1,152
computing,152,202,0 1 5,8,57
idle,179,179,2 3 4,-1,179
computing,179,227,2 3 4 6,9,60
switching_off,182,187,7,-2,182
sleeping,187,222,7,-4,187
idle,202,202,0 1 5,-1,202
computing,202,253,0 1 5,10,62
switching_on,222,227,7,-3,222
idle,227,227,2 3 4 6 7,-1,227
computing,227,280,2 3 4 6 7,11,79
idle,253,253,0 1 5,-1,253
computing,253,303,0 1 5,13,84
idle,280,280,2 3 4 6 7,-1,280
computing,280,330,2 3 4 6 7,12,83
idle,303,303,0 1 5,-1,303
computing,303,351,0 1 5,16,103
idle,330,330,2 3 4 6,-1,330
idle,330,360,7,-1,330
computing,330,383,2 3 4 6,14,85
idle,351,351,0 1 5,-1,351
computing,351,400,0 1 5,17,105
switching_off,360,365,7,-2,360
sleeping,365,378,7,-4,365
switching_on,378,383,7,-3,378
idle,383,383,2 3 4 6 7,-1,383
computing,383,433,2 3 4 6 7,15,93
idle,400,400,0 1 5,-1,400
computing,400,451,0 1 5,19,109
idle,433,433,2 3 4 6 7,-1,433
computing,433,482,2 3 4 6 7,18,108
idle,451,451,0 1 5,-1,451
computing,451,502,0 1 5,20,115
idle,482,482,2 3 4 6,-1,482
idle,482,502,7,-1,482
computing,482,531,4 6,29,144
computing,482,532,2 3,21,115
idle,502,502,0 1 5,-1,502
computing,502,548,0 1 5 7,22,119
idle,531,532,4,-1,531
idle,531,548,6,-1,531
idle,532,532,2 3,-1,532
computing,532,581,2 3 4,25,129
idle,548,548,0 1 5 7,-1,548
computing,548,600,0 1 5 6 7,23,119
idle,581,581,2 3 4,-1,581
computing,581,631,2 3 4,26,132
idle,600,600,0 1 5 6,-1,600
idle,600,630,7,-1,600
computing,600,653,0 1 5 6,24,127
switching_off,630,635,7,-2,630
idle,631,631,2 3 4,-1,631
computing,631,681,2 3 4,27,133
sleeping,635,676,7,-4,635
idle,653,653,0 1 5 6,-1,653
computing,653,705,0 1 5 6,28,137
switching_on,676,681,7,-3,676
idle,681,681,2 3 4 7,-1,681
computing,681,732,2 3 4 7,30,146
idle,705,732,0 1 5 6,-1,705
idle,732,732,2 3 4 7,-1,732
