time,sleeping,sleeping_nodes,switching_on,switching_on_nodes,switching_off,switching_off_nodes,idle,idle_nodes,computing,computing_nodes,unavailable
0,0,[],0,[],0,[],8,"[0, 1, 2, 3, 4, 5, 6, 7]",0,"[{'job_id': 1, 'nodes': [0, 1, 2], 'starting_time': 3, 'finish_time': 155}, {'job_id': 2, 'nodes': [3, 4, 5, 6, 7], 'starting_time': 8, 'finish_time': 157}]",0
3,0,[],0,[],0,[],5,"[3, 4, 5, 6, 7]",3,"[{'job_id': 1, 'nodes': [0, 1, 2], 'starting_time': 3, 'finish_time': 155}, {'job_id': 2, 'nodes': [3, 4, 5, 6, 7], 'starting_time': 8, 'finish_time': 157}]",0
8,0,[],0,[],0,[],0,[],8,"[{'job_id': 1, 'nodes': [0, 1, 2], 'starting_time': 3, 'finish_time': 155}, {'job_id': 2, 'nodes': [3, 4, 5, 6, 7], 'starting_time': 8, 'finish_time': 157}]",0
155,0,[],0,[],0,[],0,[],8,"[{'job_id': 2, 'nodes': [3, 4, 5, 6, 7], 'starting_time': 8, 'finish_time': 157}, {'job_id': 6, 'nodes': [0, 1, 2], 'starting_time': 155, 'finish_time': 304}]",0
157,0,[],0,[],0,[],1,[7],7,"[{'job_id': 6, 'nodes': [0, 1, 2], 'starting_time': 155, 'finish_time': 304}, {'job_id': 3, 'nodes': [3, 4, 5, 6], 'starting_time': 157, 'finish_time': 305}]",0
304,0,[],0,[],0,[],0,[],8,"[{'job_id': 3, 'nodes': [3, 4, 5, 6], 'starting_time': 157, 'finish_time': 305}, {'job_id': 4, 'nodes': [0, 1, 2, 7], 'starting_time': 304, 'finish_time': 452}]",0
305,0,[],0,[],0,[],0,[],8,"[{'job_id': 4, 'nodes': [0, 1, 2, 7], 'starting_time': 304, 'finish_time': 452}, {'job_id': 5, 'nodes': [3, 4, 5, 6], 'starting_time': 305, 'finish_time': 454}]",0
452,0,[],0,[],0,[],1,[7],7,"[{'job_id': 5, 'nodes': [3, 4, 5, 6], 'starting_time': 305, 'finish_time': 454}, {'job_id': 7, 'nodes': [0, 1, 2], 'starting_time': 452, 'finish_time': 601}]",0
454,0,[],0,[],0,[],2,"[6, 7]",6,"[{'job_id': 7, 'nodes': [0, 1, 2], 'starting_time': 452, 'finish_time': 601}, {'job_id': 8, 'nodes': [3, 4, 5], 'starting_time': 454, 'finish_time': 604}]",0
601,0,[],0,[],0,[],1,[7],7,"[{'job_id': 8, 'nodes': [3, 4, 5], 'starting_time': 454, 'finish_time': 604}, {'job_id': 9, 'nodes': [0, 1, 2, 6], 'starting_time': 601, 'finish_time': 754}]",0
604,0,[],0,[],0,[],1,[7],7,"[{'job_id': 9, 'nodes': [0, 1, 2, 6], 'starting_time': 601, 'finish_time': 754}, {'job_id': 15, 'nodes': [3, 4, 5], 'starting_time': 604, 'finish_time': 753}]",0
753,0,[],0,[],0,[],1,[7],7,"[{'job_id': 9, 'nodes': [0, 1, 2, 6], 'starting_time': 601, 'finish_time': 754}, {'job_id': 18, 'nodes': [3, 4, 5], 'starting_time': 753, 'finish_time': 904}]",0
754,0,[],0,[],0,[],0,[],8,"[{'job_id': 18, 'nodes': [3, 4, 5], 'starting_time': 753, 'finish_time': 904}, {'job_id': 10, 'nodes': [0, 1, 2, 6, 7], 'starting_time': 754, 'finish_time': 906}]",0
904,0,[],0,[],0,[],0,[],8,"[{'job_id': 10, 'nodes': [0, 1, 2, 6, 7], 'starting_time': 754, 'finish_time': 906}, {'job_id': 25, 'nodes': [3, 4, 5], 'starting_time': 904, 'finish_time': 1058}]",0
906,0,[],0,[],0,[],0,[],8,"[{'job_id': 25, 'nodes': [3, 4, 5], 'starting_time': 904, 'finish_time': 1058}, {'job_id': 11, 'nodes': [0, 1, 2, 6, 7], 'starting_time': 906, 'finish_time': 1057}]",0
1057,0,[],0,[],0,[],1,[7],7,"[{'job_id': 25, 'nodes': [3, 4, 5], 'starting_time': 904, 'finish_time': 1058}, {'job_id': 12, 'nodes': [0, 1, 2, 6], 'starting_time': 1057, 'finish_time': 1209}]",0
1058,0,[],0,[],0,[],0,[],8,"[{'job_id': 12, 'nodes': [0, 1, 2, 6], 'starting_time': 1057, 'finish_time': 1209}, {'job_id': 16, 'nodes': [3, 4, 5, 7], 'starting_time': 1058, 'finish_time': 1204}]",0
1204,0,[],0,[],0,[],1,[7],7,"[{'job_id': 12, 'nodes': [0, 1, 2, 6], 'starting_time': 1057, 'finish_time': 1209}, {'job_id': 30, 'nodes': [3, 4, 5], 'starting_time': 1204, 'finish_time': 1359}]",0
1209,0,[],0,[],0,[],0,[],8,"[{'job_id': 30, 'nodes': [3, 4, 5], 'starting_time': 1204, 'finish_time': 1359}, {'job_id': 13, 'nodes': [0, 1, 2, 6, 7], 'starting_time': 1209, 'finish_time': 1359}]",0
1359,0,[],0,[],0,[],0,[],8,"[{'job_id': 14, 'nodes': [0, 1, 2, 3, 4], 'starting_time': 1359, 'finish_time': 1510}, {'job_id': 32, 'nodes': [5, 6, 7], 'starting_time': 1359, 'finish_time': 1508}]",0
1508,0,[],0,[],0,[],1,[7],7,"[{'job_id': 14, 'nodes': [0, 1, 2, 3, 4], 'starting_time': 1359, 'finish_time': 1510}, {'job_id': 36, 'nodes': [5, 6], 'starting_time': 1508, 'finish_time': 1662}]",0
1510,0,[],0,[],0,[],1,[7],7,"[{'job_id': 36, 'nodes': [5, 6], 'starting_time': 1508, 'finish_time': 1662}, {'job_id': 17, 'nodes': [0, 1, 2, 3, 4], 'starting_time': 1510, 'finish_time': 1664}]",0
1662,0,[],0,[],0,[],0,[],8,"[{'job_id': 17, 'nodes': [0, 1, 2, 3, 4], 'starting_time': 1510, 'finish_time': 1664}, {'job_id': 42, 'nodes': [5, 6, 7], 'starting_time': 1662, 'finish_time': 1812}]",0
1664,0,[],0,[],0,[],1,[4],7,"[{'job_id': 42, 'nodes': [5, 6, 7], 'starting_time': 1662, 'finish_time': 1812}, {'job_id': 19, 'nodes': [0, 1, 2, 3], 'starting_time': 1664, 'finish_time': 1818}]",0
1812,0,[],0,[],0,[],2,"[6, 7]",6,"[{'job_id': 19, 'nodes': [0, 1, 2, 3], 'starting_time': 1664, 'finish_time': 1818}, {'job_id': 53, 'nodes': [4, 5], 'starting_time': 1812, 'finish_time': 1960}]",0
1818,0,[],0,[],0,[],0,[],8,"[{'job_id': 53, 'nodes': [4, 5], 'starting_time': 1812, 'finish_time': 1960}, {'job_id': 20, 'nodes': [0, 1, 2, 3, 6, 7], 'starting_time': 1818, 'finish_time': 1966}]",0
1960,0,[],0,[],0,[],2,"[4, 5]",6,"[{'job_id': 20, 'nodes': [0, 1, 2, 3, 6, 7], 'starting_time': 1818, 'finish_time': 1966}]",0
1966,0,[],0,[],0,[],0,[],8,"[{'job_id': 21, 'nodes': [0, 1, 2, 3], 'starting_time': 1966, 'finish_time': 2119}, {'job_id': 23, 'nodes': [4, 5, 6, 7], 'starting_time': 1966, 'finish_time': 2116}]",0
2116,0,[],0,[],0,[],1,[7],7,"[{'job_id': 21, 'nodes': [0, 1, 2, 3], 'starting_time': 1966, 'finish_time': 2119}, {'job_id': 43, 'nodes': [4, 5, 6], 'starting_time': 2116, 'finish_time': 2265}]",0
2119,0,[],0,[],0,[],0,[],8,"[{'job_id': 43, 'nodes': [4, 5, 6], 'starting_time': 2116, 'finish_time': 2265}, {'job_id': 22, 'nodes': [0, 1, 2, 3, 7], 'starting_time': 2119, 'finish_time': 2269}]",0
2265,0,[],0,[],0,[],3,"[4, 5, 6]",5,"[{'job_id': 22, 'nodes': [0, 1, 2, 3, 7], 'starting_time': 2119, 'finish_time': 2269}]",0
2269,0,[],0,[],0,[],2,"[6, 7]",6,"[{'job_id': 24, 'nodes': [0, 1, 2, 3, 4, 5], 'starting_time': 2269, 'finish_time': 2424}]",0
2424,0,[],0,[],0,[],0,[],8,"[{'job_id': 26, 'nodes': [0, 1, 2, 3, 4], 'starting_time': 2424, 'finish_time': 2573}, {'job_id': 55, 'nodes': [5, 6, 7], 'starting_time': 2424, 'finish_time': 2572}]",0
