type,starting_time,finish_time,allocated_resources,job_id,submission_time
idle,0,1,0 1 2 3 4 5 6,-1,0
idle,0,30,7,-1,0
computing,1,152,0 1 2,1,1
computing,1,154,3 4 5 6,2,1
switching_off,30,35,7,-2,30
sleeping,35,147,7,-4,35
switching_on,147,152,7,-3,147
idle,152,152,0 1 2 7,-1,152
computing,152,298,0 1 2 7,3,23
idle,154,154,3 4 5 6,-1,154
computing,154,303,3 4 5 6,4,30
idle,298,298,0 1 2 7,-1,298
computing,298,448,0 1 2 7,5,34
idle,303,303,3 4 5 6,-1,303
computing,303,450,3 4,6,35
computing,303,453,5 6,11,58
idle,448,448,0 1 2,-1,448
idle,448,450,7,-1,448
computing,448,597,0 1 2,7,36
idle,450,450,3 4,-1,450
computing,450,601,3 4 7,8,42
idle,453,453,5,-1,453
idle,453,483,6,-1,453
computing,453,603,5,18,88
switching_off,483,488,6,-2,483
sleeping,488,592,6,-4,488
switching_on,592,597,6,-3,592
idle,597,597,0 1 2 6,-1,597
computing,597,748,0 1 2 6,9,50
idle,601,603,3 4 7,-1,601
idle,603,603,5,-1,603
computing,603,755,3 4 5 7,10,55
idle,748,748,0 1 2,-1,748
idle,748,755,6,-1,748
computing,748,899,0 1 2,12,66
idle,755,755,3 4 5,-1,755
idle,755,785,7,-1,755
computing,755,904,3 4 5 6,13,67
switching_off,785,790,7,-2,785
sleeping,790,894,7,-4,790
switching_on,894,899,7,-3,894
idle,899,899,0 1 2 7,-1,899
computing,899,1049,0 1 2 7,14,70
idle,904,904,3 4 5 6,-1,904
computing,904,1053,5 6,19,89
computing,904,1057,3 4,15,70
idle,1049,1049,0 1 2 7,-1,1049
computing,1049,1199,0 1 2 7,16,82
idle,1053,1057,5 6,-1,1053
idle,1057,1057,3 4,-1,1057
computing,1057,1206,3 4 5 6,17,84
idle,1199,1199,0 1 2,-1,1199
idle,1199,1229,7,-1,1199
computing,1199,1349,0 1 2,20,93
idle,1206,1236,3 4 5 6,-1,1206
switching_off,1229,1234,7,-2,1229
sleeping,1234,1349,7,-4,1234
switching_off,1236,1241,3 4 5 6,-2,1236
sleeping,1241,1349,3 4 5 6,-4,1241
idle,1349,1349,0 1 2,-1,1349
