type,starting_time,finish_time,allocated_resources,job_id,submission_time
idle,0,1,0 1 2 3 4 5 6,-1,0
idle,0,30,7,-1,0
computing,1,152,0 1 2,1,1
computing,1,154,3 4 5 6,2,1
switching_off,30,35,7,-2,30
sleeping,35,147,7,-4,35
switching_on,147,152,7,-3,147
idle,152,152,0 1 2 7,-1,152
computing,152,298,0 1 2 7,3,23
idle,154,154,3 4 5 6,-1,154
computing,154,303,3 4 5 6,4,30
idle,298,298,0 1 2 7,-1,298
computing,298,448,0 1 2 7,5,34
idle,303,303,3 4,-1,303
idle,303,333,5 6,-1,303
computing,303,450,3 4,6,35
switching_off,333,338,5 6,-2,333
sleeping,338,443,5 6,-4,338
switching_on,443,448,5 6,-3,443
idle,448,448,0 1 2 5 6 7,-1,448
computing,448,597,0 1 2,7,36
computing,448,599,5 6 7,8,42
idle,450,480,3 4,-1,450
switching_off,480,485,3 4,-2,480
sleeping,485,592,3,-4,485
sleeping,485,594,4,-4,485
switching_on,592,597,3,-3,592
switching_on,594,599,4,-3,594
idle,597,597,0 1 2 3,-1,597
computing,597,748,0 1 2 3,9,50
idle,599,599,4 5 6 7,-1,599
computing,599,751,4 5 6 7,10,55
idle,748,748,0 1,-1,748
idle,748,751,2 3,-1,748
computing,748,898,0 1,11,58
idle,751,751,4,-1,751
idle,751,781,5 6 7,-1,751
computing,751,902,2 3 4,12,66
switching_off,781,786,5 6 7,-2,781
sleeping,786,893,5 6,-4,786
sleeping,786,897,7,-4,786
switching_on,893,898,5 6,-3,893
switching_on,897,902,7,-3,897
idle,898,898,0 1 5 6,-1,898
computing,898,1047,0 1 5 6,13,67
idle,902,902,2 3 4 7,-1,902
computing,902,1052,2 3 4 7,14,70
idle,1047,1047,0 1,-1,1047
idle,1047,1052,5,-1,1047
idle,1047,1077,6,-1,1047
computing,1047,1200,0 1,15,70
idle,1052,1052,2 3 4,-1,1052
idle,1052,1082,7,-1,1052
computing,1052,1202,2 3 4 5,16,82
switching_off,1077,1082,6,-2,1077
switching_off,1082,1087,7,-2,1082
sleeping,1082,1195,6,-4,1082
sleeping,1087,1195,7,-4,1087
switching_on,1195,1200,6 7,-3,1195
idle,1200,1200,0 1 6 7,-1,1200
computing,1200,1349,0 1 6 7,17,84
idle,1202,1202,2 3 4,-1,1202
idle,1202,1232,5,-1,1202
computing,1202,1351,3 4,19,89
computing,1202,1352,2,18,88
switching_off,1232,1237,5,-2,1232
sleeping,1237,1344,5,-4,1237
switching_on,1344,1349,5,-3,1344
idle,1349,1349,0 1 5,-1,1349
idle,1349,1379,6 7,-1,1349
computing,1349,1499,0 1 5,20,93
idle,1351,1381,3 4,-1,1351
idle,1352,1382,2,-1,1352
switching_off,1379,1384,6 7,-2,1379
switching_off,1381,1386,3 4,-2,1381
switching_off,1382,1387,2,-2,1382
sleeping,1384,1499,6 7,-4,1384
sleeping,1386,1499,3 4,-4,1386
sleeping,1387,1499,2,-4,1387
idle,1499,1499,0 1 5,-1,1499
