job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy
1,w0,100,2,4,144,0,COMPLETED_WALLTIME_REACHED,2,144,146,0,144,1.0,0 1 2 3,-1
2,w0,100,23,3,151,0,COMPLETED_WALLTIME_REACHED,23,151,174,0,151,1.0,4 5 6,-1
3,w0,100,31,4,150,0,COMPLETED_WALLTIME_REACHED,146,150,296,115,265,1.7666666666666666,0 1 2 3,-1
4,w0,100,34,2,151,0,COMPLETED_WALLTIME_REACHED,174,151,325,140,291,1.9271523178807948,4 5,-1
9,w0,100,78,2,153,0,COMPLETED_WALLTIME_REACHED,179,153,332,101,254,1.6601307189542485,6 7,-1
5,w0,100,47,4,148,0,COMPLETED_WALLTIME_REACHED,296,148,444,249,397,2.6824324324324325,0 1 2 3,-1
6,w0,100,47,4,149,0,COMPLETED_WALLTIME_REACHED,332,149,481,285,434,2.912751677852349,4 5 6 7,-1
7,w0,100,55,3,148,0,COMPLETED_WALLTIME_REACHED,444,148,592,389,537,3.6283783783783785,0 1 2,-1
8,w0,100,64,4,150,0,COMPLETED_WALLTIME_REACHED,481,150,631,417,567,3.78,4 5 6 7,-1
10,w0,100,89,4,153,0,COMPLETED_WALLTIME_REACHED,597,153,750,508,661,4.3202614379084965,0 1 2 3,-1
11,w0,100,97,3,150,0,COMPLETED_WALLTIME_REACHED,631,150,781,534,684,4.56,4 5 6,-1
12,w0,100,97,4,151,0,COMPLETED_WALLTIME_REACHED,750,151,901,653,804,5.324503311258278,0 1 2 3,-1
13,w0,100,111,2,151,0,COMPLETED_WALLTIME_REACHED,781,151,932,670,821,5.437086092715232,4 5,-1
14,w0,100,117,2,148,0,COMPLETED_WALLTIME_REACHED,786,148,934,669,817,5.52027027027027,6 7,-1
15,w0,100,126,2,150,0,COMPLETED_WALLTIME_REACHED,901,150,1051,775,925,6.166666666666667,0 1,-1
16,w0,100,127,3,150,0,COMPLETED_WALLTIME_REACHED,934,150,1084,807,957,6.38,4 5 6,-1
17,w0,100,134,3,152,0,COMPLETED_WALLTIME_REACHED,941,152,1093,807,959,6.309210526315789,7 2 3,-1
18,w0,100,134,3,147,0,COMPLETED_WALLTIME_REACHED,1084,147,1231,950,1097,7.462585034013605,4 5 6,-1
19,w0,100,136,4,148,0,COMPLETED_WALLTIME_REACHED,1098,148,1246,962,1110,7.5,2 3 7 0,-1
20,w0,100,138,4,151,0,COMPLETED_WALLTIME_REACHED,1236,151,1387,1098,1249,8.271523178807946,4 5 6 1,-1
