type,starting_time,finish_time,allocated_resources,job_id,submission_time
idle,0,2,0 1 2 3,-1,0
idle,0,23,4 5 6,-1,0
idle,0,30,7,-1,0
computing,2,146,0 1 2 3,1,2
computing,23,174,4 5 6,2,23
switching_off,30,35,7,-2,30
sleeping,35,325,7,-4,35
idle,146,146,0 1 2 3,-1,146
computing,146,296,0 1 2 3,3,31
idle,174,174,4 5,-1,174
idle,174,204,6,-1,174
computing,174,325,4 5,4,34
switching_off,204,209,6,-2,204
sleeping,209,325,6,-4,209
idle,296,296,0 1 2 3,-1,296
computing,296,444,0 1 2 3,5,47
idle,325,330,4 5,-1,325
switching_on,325,330,6 7,-3,325
idle,330,330,6 7,-1,330
computing,330,479,4 5 6 7,6,47
idle,444,444,0 1 2,-1,444
idle,444,474,3,-1,444
computing,444,592,0 1 2,7,55
switching_off,474,479,3,-2,474
idle,479,479,4 5 6 7,-1,479
computing,479,629,4 5 6 7,8,64
sleeping,479,900,3,-4,479
idle,592,592,0 1,-1,592
idle,592,622,2,-1,592
computing,592,745,0 1,9,78
switching_off,622,627,2,-2,622
sleeping,627,745,2,-4,627
idle,629,629,4 5 6 7,-1,629
computing,629,782,4 5 6 7,10,89
idle,745,750,0 1,-1,745
switching_on,745,750,2,-3,745
idle,750,750,2,-1,750
computing,750,900,0 1 2,11,97
idle,782,782,4 5 6 7,-1,782
computing,782,933,4 5 6 7,12,97
idle,900,900,0 1,-1,900
idle,900,905,2,-1,900
switching_on,900,905,3,-3,900
computing,900,1051,0 1,13,111
idle,905,905,3,-1,905
computing,905,1053,2 3,14,117
idle,933,933,4 5,-1,933
idle,933,963,6 7,-1,933
computing,933,1083,4 5,15,126
switching_off,963,968,6 7,-2,963
sleeping,968,1051,6,-4,968
sleeping,968,1053,7,-4,968
idle,1051,1056,0 1,-1,1051
switching_on,1051,1056,6,-3,1051
idle,1053,1058,2 3,-1,1053
switching_on,1053,1058,7,-3,1053
idle,1056,1056,6,-1,1056
computing,1056,1206,0 1 6,16,127
idle,1058,1058,7,-1,1058
computing,1058,1210,2 3 7,17,134
idle,1083,1113,4 5,-1,1083
switching_off,1113,1118,4 5,-2,1113
sleeping,1118,1210,4,-4,1118
sleeping,1118,1353,5,-4,1118
idle,1206,1206,0 1 6,-1,1206
computing,1206,1353,0 1 6,18,134
idle,1210,1215,2 3 7,-1,1210
switching_on,1210,1215,4,-3,1210
idle,1215,1215,4,-1,1215
computing,1215,1363,2 3 7 4,19,136
idle,1353,1358,0 1 6,-1,1353
switching_on,1353,1358,5,-3,1353
idle,1358,1358,5,-1,1358
computing,1358,1509,0 1 6 5,20,138
idle,1363,1393,2 3 4 7,-1,1363
switching_off,1393,1398,2 3 4 7,-2,1393
sleeping,1398,1509,2 3 4 7,-4,1398
idle,1509,1509,0 1 5 6,-1,1509
