time,sleeping,sleeping_nodes,switching_on,switching_on_nodes,switching_off,switching_off_nodes,idle,idle_nodes,computing,computing_nodes,unavailable
0,0,[],0,[],0,[],8,"[0, 1, 2, 3, 4, 5, 6, 7]",0,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 2, 'finish_time': 146}, {'job_id': 2, 'nodes': [4, 5, 6], 'starting_time': 23, 'finish_time': 174}]",0
2,0,[],0,[],0,[],4,"[4, 5, 6, 7]",4,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 2, 'finish_time': 146}, {'job_id': 2, 'nodes': [4, 5, 6], 'starting_time': 23, 'finish_time': 174}]",0
23,0,[],0,[],0,[],1,[7],7,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 2, 'finish_time': 146}, {'job_id': 2, 'nodes': [4, 5, 6], 'starting_time': 23, 'finish_time': 174}]",0
146,0,[],0,[],0,[],1,[7],7,"[{'job_id': 2, 'nodes': [4, 5, 6], 'starting_time': 23, 'finish_time': 174}, {'job_id': 3, 'nodes': [0, 1, 2, 3], 'starting_time': 146, 'finish_time': 296}]",0
174,0,[],0,[],0,[],0,[],8,"[{'job_id': 3, 'nodes': [0, 1, 2, 3], 'starting_time': 146, 'finish_time': 296}, {'job_id': 4, 'nodes': [4, 5], 'starting_time': 174, 'finish_time': 325}, {'job_id': 9, 'nodes': [6, 7], 'starting_time': 174, 'finish_time': 327}]",0
296,0,[],0,[],0,[],0,[],8,"[{'job_id': 4, 'nodes': [4, 5], 'starting_time': 174, 'finish_time': 325}, {'job_id': 9, 'nodes': [6, 7], 'starting_time': 174, 'finish_time': 327}, {'job_id': 5, 'nodes': [0, 1, 2, 3], 'starting_time': 296, 'finish_time': 444}]",0
325,0,[],0,[],0,[],2,"[4, 5]",6,"[{'job_id': 9, 'nodes': [6, 7], 'starting_time': 174, 'finish_time': 327}, {'job_id': 5, 'nodes': [0, 1, 2, 3], 'starting_time': 296, 'finish_time': 444}]",0
327,0,[],0,[],0,[],0,[],8,"[{'job_id': 5, 'nodes': [0, 1, 2, 3], 'starting_time': 296, 'finish_time': 444}, {'job_id': 6, 'nodes': [4, 5, 6, 7], 'starting_time': 327, 'finish_time': 476}]",0
444,0,[],0,[],0,[],1,[3],7,"[{'job_id': 6, 'nodes': [4, 5, 6, 7], 'starting_time': 327, 'finish_time': 476}, {'job_id': 7, 'nodes': [0, 1, 2], 'starting_time': 444, 'finish_time': 592}]",0
476,0,[],0,[],0,[],1,[7],7,"[{'job_id': 7, 'nodes': [0, 1, 2], 'starting_time': 444, 'finish_time': 592}, {'job_id': 8, 'nodes': [3, 4, 5, 6], 'starting_time': 476, 'finish_time': 626}]",0
592,0,[],0,[],0,[],0,[],8,"[{'job_id': 8, 'nodes': [3, 4, 5, 6], 'starting_time': 476, 'finish_time': 626}, {'job_id': 10, 'nodes': [0, 1, 2, 7], 'starting_time': 592, 'finish_time': 745}]",0
626,0,[],0,[],0,[],1,[6],7,"[{'job_id': 10, 'nodes': [0, 1, 2, 7], 'starting_time': 592, 'finish_time': 745}, {'job_id': 11, 'nodes': [3, 4, 5], 'starting_time': 626, 'finish_time': 776}]",0
745,0,[],0,[],0,[],1,[7],7,"[{'job_id': 11, 'nodes': [3, 4, 5], 'starting_time': 626, 'finish_time': 776}, {'job_id': 12, 'nodes': [0, 1, 2, 6], 'starting_time': 745, 'finish_time': 896}]",0
776,0,[],0,[],0,[],0,[],8,"[{'job_id': 12, 'nodes': [0, 1, 2, 6], 'starting_time': 745, 'finish_time': 896}, {'job_id': 13, 'nodes': [3, 4], 'starting_time': 776, 'finish_time': 927}, {'job_id': 14, 'nodes': [5, 7], 'starting_time': 776, 'finish_time': 924}]",0
896,0,[],0,[],0,[],2,"[2, 6]",6,"[{'job_id': 13, 'nodes': [3, 4], 'starting_time': 776, 'finish_time': 927}, {'job_id': 14, 'nodes': [5, 7], 'starting_time': 776, 'finish_time': 924}, {'job_id': 15, 'nodes': [0, 1], 'starting_time': 896, 'finish_time': 1046}]",0
924,0,[],0,[],0,[],1,[7],7,"[{'job_id': 13, 'nodes': [3, 4], 'starting_time': 776, 'finish_time': 927}, {'job_id': 15, 'nodes': [0, 1], 'starting_time': 896, 'finish_time': 1046}, {'job_id': 16, 'nodes': [2, 5, 6], 'starting_time': 924, 'finish_time': 1074}]",0
927,0,[],0,[],0,[],0,[],8,"[{'job_id': 15, 'nodes': [0, 1], 'starting_time': 896, 'finish_time': 1046}, {'job_id': 16, 'nodes': [2, 5, 6], 'starting_time': 924, 'finish_time': 1074}, {'job_id': 17, 'nodes': [3, 4, 7], 'starting_time': 927, 'finish_time': 1079}]",0
1046,0,[],0,[],0,[],2,"[0, 1]",6,"[{'job_id': 16, 'nodes': [2, 5, 6], 'starting_time': 924, 'finish_time': 1074}, {'job_id': 17, 'nodes': [3, 4, 7], 'starting_time': 927, 'finish_time': 1079}]",0
1074,0,[],0,[],0,[],2,"[5, 6]",6,"[{'job_id': 17, 'nodes': [3, 4, 7], 'starting_time': 927, 'finish_time': 1079}, {'job_id': 18, 'nodes': [0, 1, 2], 'starting_time': 1074, 'finish_time': 1221}]",0
1079,0,[],0,[],0,[],1,[7],7,"[{'job_id': 18, 'nodes': [0, 1, 2], 'starting_time': 1074, 'finish_time': 1221}, {'job_id': 19, 'nodes': [3, 4, 5, 6], 'starting_time': 1079, 'finish_time': 1227}]",0
1221,0,[],0,[],0,[],0,[],8,"[{'job_id': 19, 'nodes': [3, 4, 5, 6], 'starting_time': 1079, 'finish_time': 1227}, {'job_id': 20, 'nodes': [0, 1, 2, 7], 'starting_time': 1221, 'finish_time': 1372}]",0
1227,0,[],0,[],0,[],4,"[3, 4, 5, 6]",4,"[{'job_id': 20, 'nodes': [0, 1, 2, 7], 'starting_time': 1221, 'finish_time': 1372}]",0
1372,0,[],0,[],0,[],8,"[0, 1, 2, 3, 4, 5, 6, 7]",0,[],0
