type,starting_time,finish_time,allocated_resources,job_id,submission_time
idle,0,4,0 1 2 3,-1,0
idle,0,30,4 5 6 7,-1,0
computing,4,155,0 1 2 3,1,4
switching_off,30,35,4 5 6 7,-2,30
sleeping,35,150,4,-4,35
sleeping,35,302,5 6 7,-4,35
switching_on,150,155,4,-3,150
idle,155,155,0 1 2 3 4,-1,155
computing,155,307,0 1 2 3 4,2,6
switching_on,302,307,5 6 7,-3,302
idle,307,307,0 1 2 3 4 5 6 7,-1,307
computing,307,457,4 5 6 7,5,11
computing,307,459,0 1 2 3,3,8
idle,457,459,4 5,-1,457
idle,457,487,6 7,-1,457
idle,459,459,0 1 2 3,-1,459
computing,459,610,0 1 2 3 4 5,4,9
switching_off,487,492,6 7,-2,487
sleeping,492,754,6 7,-4,492
idle,610,610,0 1 2 3 4 5,-1,610
computing,610,759,0 1 2 3 4 5,6,12
switching_on,754,759,6 7,-3,754
idle,759,759,0 1 2 3 4 5 6 7,-1,759
computing,759,906,4 5 6 7,9,17
computing,759,909,0 1 2 3,7,14
idle,906,909,4,-1,906
idle,906,936,5 6 7,-1,906
idle,909,909,0 1 2 3,-1,909
computing,909,1062,0 1 2 3 4,8,14
switching_off,936,941,5 6 7,-2,936
sleeping,941,1209,5 6 7,-4,941
idle,1062,1062,0 1 2 3,-1,1062
idle,1062,1092,4,-1,1062
computing,1062,1209,0 1 2 3,10,18
switching_off,1092,1097,4,-2,1092
sleeping,1097,1209,4,-4,1097
idle,1209,1209,0 1 2 3,-1,1209
