current_time,sleeping,switching_on,switching_off,idle,computing,unavailable
0,0,0,0,16,0,0
1,0,0,0,3,13,0
23,0,0,0,0,16,0
151,0,0,0,1,15,0
153,0,0,0,4,12,0
172,0,0,0,2,14,0
202,0,0,0,0,16,0
304,0,0,0,0,16,0
305,0,0,0,0,16,0
320,0,0,0,0,16,0
347,0,0,0,0,16,0
455,0,0,0,0,16,0
459,0,0,0,0,16,0
470,0,0,0,2,14,0
496,0,0,0,0,16,0
605,0,0,0,1,15,0
610,0,0,0,2,14,0
619,0,0,0,0,16,0
644,0,0,0,2,14,0
758,0,0,0,0,16,0
760,0,0,0,0,16,0
769,0,0,0,0,16,0
793,0,0,0,0,16,0
906,0,0,0,0,16,0
912,0,0,0,0,16,0
915,0,0,0,0,16,0
940,0,0,0,2,14,0
1055,0,0,0,0,16,0
1056,0,0,0,2,14,0
1063,0,0,0,1,15,0
1067,0,0,0,1,15,0
1206,0,0,0,0,16,0
1211,0,0,0,0,16,0
1219,0,0,0,0,16,0
1352,0,0,0,0,16,0
1363,0,0,0,1,15,0
1368,0,0,0,4,12,0
1372,0,0,0,0,16,0
1500,0,0,0,4,12,0
1504,0,0,0,1,15,0
1511,0,0,0,1,15,0
1520,0,0,0,0,16,0
1653,0,0,0,0,16,0
1661,0,0,0,0,16,0
1669,0,0,0,0,16,0
1670,0,0,0,2,14,0
1800,0,0,0,0,16,0
1804,0,0,0,2,14,0
1810,0,0,0,2,14,0
1818,0,0,0,1,15,0
1820,0,0,0,0,16,0
1950,0,0,0,0,16,0
1960,0,0,0,1,15,0
1968,0,0,0,5,11,0
1969,0,0,0,2,14,0
2102,0,0,0,3,13,0
2110,0,0,0,2,14,0
2114,0,0,0,0,16,0
2253,0,0,0,0,16,0
2260,0,0,0,0,16,0
2263,0,0,0,0,16,0
2264,0,0,0,3,13,0
2402,0,0,0,2,14,0
2409,0,0,0,2,14,0
2412,0,0,0,1,15,0
2549,0,0,0,0,16,0
2559,0,0,0,1,15,0
2561,0,0,0,1,15,0
2701,0,0,0,1,15,0
2706,0,0,0,1,15,0
2711,0,0,0,1,15,0
2848,0,0,0,1,15,0
2854,0,0,0,2,14,0
2861,0,0,0,1,15,0
2999,0,0,0,2,14,0
3004,0,0,0,1,15,0
3012,0,0,0,1,15,0
3150,0,0,0,0,16,0
3151,0,0,0,1,15,0
3160,0,0,0,0,16,0
3300,0,0,0,0,16,0
3304,0,0,0,0,16,0
3307,0,0,0,3,13,0
3311,0,0,0,0,16,0
3449,0,0,0,1,15,0
3454,0,0,0,0,16,0
3464,0,0,0,0,16,0
3601,0,0,0,2,14,0
3605,0,0,0,0,16,0
3613,0,0,0,0,16,0
3751,0,0,0,0,16,0
3754,0,0,0,3,13,0
3764,0,0,0,2,14,0
3898,0,0,0,0,16,0
3899,0,0,0,0,16,0
3916,0,0,0,2,14,0
4050,0,0,0,2,14,0
4052,0,0,0,2,14,0
4067,0,0,0,0,16,0
4198,0,0,0,0,16,0
4201,0,0,0,0,16,0
4218,0,0,0,2,14,0
4348,0,0,0,2,14,0
4352,0,0,0,0,16,0
4369,0,0,0,0,16,0
4499,0,0,0,5,11,0
4501,0,0,0,2,14,0
4502,0,0,0,1,15,0
4517,0,0,0,0,16,0
4647,0,0,0,1,15,0
4656,0,0,0,0,16,0
4667,0,0,0,2,14,0
4795,0,0,0,0,16,0
4809,0,0,0,1,15,0
4815,0,0,0,1,15,0
4944,0,0,0,1,15,0
4946,0,0,0,1,15,0
4961,0,0,0,0,16,0
4964,0,0,0,0,16,0
5094,0,0,0,3,13,0
5095,0,0,0,2,14,0
5113,0,0,0,1,15,0
5114,0,0,0,1,15,0
5248,0,0,0,1,15,0
5263,0,0,0,0,16,0
5269,0,0,0,0,16,0
5399,0,0,0,1,15,0
5414,0,0,0,0,16,0
5415,0,0,0,3,13,0
5422,0,0,0,2,14,0
5552,0,0,0,2,14,0
5566,0,0,0,0,16,0
5572,0,0,0,0,16,0
5704,0,0,0,0,16,0
5715,0,0,0,0,16,0
5718,0,0,0,0,16,0
5722,0,0,0,2,14,0
5853,0,0,0,0,16,0
5865,0,0,0,4,12,0
5867,0,0,0,2,14,0
5874,0,0,0,0,16,0
6005,0,0,0,2,14,0
6019,0,0,0,2,14,0
6025,0,0,0,2,14,0
6158,0,0,0,1,15,0
6170,0,0,0,1,15,0
6174,0,0,0,1,15,0
6305,0,0,0,2,14,0
6319,0,0,0,2,14,0
6325,0,0,0,0,16,0
6454,0,0,0,0,16,0
6472,0,0,0,0,16,0
6474,0,0,0,3,13,0
6602,0,0,0,2,14,0
6621,0,0,0,2,14,0
6623,0,0,0,1,15,0
6751,0,0,0,0,16,0
6772,0,0,0,0,16,0
6773,0,0,0,1,15,0
6903,0,0,0,0,16,0
6923,0,0,0,2,14,0
7054,0,0,0,2,14,0
7055,0,0,0,0,16,0
7074,0,0,0,1,15,0
7203,0,0,0,3,13,0
7205,0,0,0,2,14,0
7223,0,0,0,1,15,0
7351,0,0,0,0,16,0
7353,0,0,0,0,16,0
7375,0,0,0,2,14,0
7497,0,0,0,2,14,0
7502,0,0,0,0,16,0
7528,0,0,0,0,16,0
7642,0,0,0,1,15,0
7651,0,0,0,2,14,0
7679,0,0,0,2,14,0
7792,0,0,0,0,16,0
7801,0,0,0,0,16,0
7831,0,0,0,1,15,0
7943,0,0,0,2,14,0
7953,0,0,0,2,14,0
7980,0,0,0,0,16,0
8094,0,0,0,0,16,0
8100,0,0,0,1,15,0
8130,0,0,0,2,14,0
8245,0,0,0,3,13,0
8252,0,0,0,2,14,0
8281,0,0,0,0,16,0
8394,0,0,0,0,16,0
8403,0,0,0,0,16,0
8430,0,0,0,4,12,0
8433,0,0,0,2,14,0
8541,0,0,0,1,15,0
8552,0,0,0,0,16,0
8582,0,0,0,1,15,0
8687,0,0,0,0,16,0
8704,0,0,0,3,13,0
8731,0,0,0,0,16,0
8838,0,0,0,2,14,0
8855,0,0,0,1,15,0
8883,0,0,0,3,13,0
8989,0,0,0,2,14,0
9005,0,0,0,2,14,0
9030,0,0,0,2,14,0
9140,0,0,0,0,16,0
9157,0,0,0,0,16,0
9179,0,0,0,0,16,0
9289,0,0,0,2,14,0
9309,0,0,0,0,16,0
9332,0,0,0,0,16,0
9438,0,0,0,1,15,0
9456,0,0,0,1,15,0
9480,0,0,0,1,15,0
9588,0,0,0,0,16,0
9608,0,0,0,1,15,0
9629,0,0,0,2,14,0
9738,0,0,0,2,14,0
9761,0,0,0,2,14,0
9781,0,0,0,2,14,0
9889,0,0,0,1,15,0
9908,0,0,0,2,14,0
9932,0,0,0,1,15,0
10039,0,0,0,2,14,0
10059,0,0,0,2,14,0
10081,0,0,0,2,14,0
10187,0,0,0,1,15,0
10206,0,0,0,0,16,0
10234,0,0,0,0,16,0
10332,0,0,0,0,16,0
10336,0,0,0,0,16,0
10352,0,0,0,0,16,0
10383,0,0,0,0,16,0
10481,0,0,0,3,13,0
10486,0,0,0,1,15,0
10500,0,0,0,1,15,0
10534,0,0,0,1,15,0
10641,0,0,0,1,15,0
10649,0,0,0,2,14,0
10687,0,0,0,2,14,0
10791,0,0,0,2,14,0
10796,0,0,0,3,13,0
10837,0,0,0,2,14,0
10942,0,0,0,3,13,0
10943,0,0,0,2,14,0
10983,0,0,0,3,13,0
11091,0,0,0,2,14,0
11092,0,0,0,2,14,0
11134,0,0,0,0,16,0
11239,0,0,0,0,16,0
11243,0,0,0,4,12,0
11282,0,0,0,2,14,0
11288,0,0,0,0,16,0
11389,0,0,0,1,15,0
11432,0,0,0,2,14,0
11435,0,0,0,0,16,0
11438,0,0,0,0,16,0
11539,0,0,0,0,16,0
11585,0,0,0,4,12,0
11591,0,0,0,2,14,0
11686,0,0,0,2,14,0
11732,0,0,0,2,14,0
11742,0,0,0,2,14,0
11836,0,0,0,1,15,0
11881,0,0,0,2,14,0
11890,0,0,0,2,14,0
11985,0,0,0,2,14,0
12033,0,0,0,2,14,0
12040,0,0,0,0,16,0
12136,0,0,0,0,16,0
12182,0,0,0,1,15,0
12186,0,0,0,0,16,0
12191,0,0,0,0,16,0
12283,0,0,0,0,16,0
12334,0,0,0,3,13,0
12337,0,0,0,2,14,0
12338,0,0,0,0,16,0
12434,0,0,0,0,16,0
12485,0,0,0,0,16,0
12489,0,0,0,0,16,0
12490,0,0,0,0,16,0
12582,0,0,0,0,16,0
12635,0,0,0,0,16,0
12640,0,0,0,2,14,0
12733,0,0,0,2,14,0
12782,0,0,0,0,16,0
12789,0,0,0,0,16,0
12884,0,0,0,1,15,0
12932,0,0,0,1,15,0
12939,0,0,0,1,15,0
13033,0,0,0,1,15,0
13081,0,0,0,2,14,0
13092,0,0,0,3,13,0
13186,0,0,0,2,14,0
13229,0,0,0,3,13,0
13244,0,0,0,2,14,0
13338,0,0,0,2,14,0
13380,0,0,0,0,16,0
13398,0,0,0,2,14,0
13488,0,0,0,0,16,0
13526,0,0,0,2,14,0
13548,0,0,0,1,15,0
13634,0,0,0,1,15,0
13638,0,0,0,0,16,0
13677,0,0,0,1,15,0
13699,0,0,0,0,16,0
13781,0,0,0,0,16,0
13789,0,0,0,1,15,0
13827,0,0,0,0,16,0
13847,0,0,0,0,16,0
13932,0,0,0,0,16,0
13938,0,0,0,0,16,0
13981,0,0,0,0,16,0
13996,0,0,0,1,15,0
14083,0,0,0,1,15,0
14085,0,0,0,0,16,0
14133,0,0,0,0,16,0
14147,0,0,0,0,16,0
14230,0,0,0,0,16,0
14233,0,0,0,0,16,0
14281,0,0,0,0,16,0
14299,0,0,0,4,12,0
14381,0,0,0,1,15,0
14382,0,0,0,1,15,0
14430,0,0,0,0,16,0
14531,0,0,0,1,15,0
14532,0,0,0,3,13,0
14580,0,0,0,2,14,0
14677,0,0,0,1,15,0
14685,0,0,0,0,16,0
14730,0,0,0,1,15,0
14828,0,0,0,1,15,0
14834,0,0,0,0,16,0
14882,0,0,0,0,16,0
14975,0,0,0,0,16,0
14981,0,0,0,1,15,0
15031,0,0,0,2,14,0
15128,0,0,0,0,16,0
15129,0,0,0,1,15,0
15178,0,0,0,1,15,0
15276,0,0,0,1,15,0
15277,0,0,0,0,16,0
15278,0,0,0,0,16,0
15327,0,0,0,0,16,0
15426,0,0,0,2,14,0
15427,0,0,0,1,15,0
15478,0,0,0,0,16,0
15577,0,0,0,1,15,0
15578,0,0,0,1,15,0
15628,0,0,0,2,14,0
15727,0,0,0,0,16,0
15779,0,0,0,0,16,0
15876,0,0,0,0,16,0
15880,0,0,0,0,16,0
15881,0,0,0,3,13,0
15929,0,0,0,1,15,0
16024,0,0,0,1,15,0
16030,0,0,0,1,15,0
16077,0,0,0,1,15,0
16173,0,0,0,1,15,0
16179,0,0,0,2,14,0
16228,0,0,0,4,12,0
16323,0,0,0,1,15,0
16326,0,0,0,5,11,0
16377,0,0,0,2,14,0
