time,sleeping,sleeping_nodes,switching_on,switching_on_nodes,switching_off,switching_off_nodes,idle,idle_nodes,computing,computing_nodes,unavailable
0,0,[],0,[],0,[],16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 2.0, 'finish_time': 151.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 3.0, 'finish_time': 153.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12], 'starting_time': 4.0, 'finish_time': 154.0}, {'job_id': 11, 'nodes': [13, 14], 'starting_time': 21.0, 'finish_time': 171.0}]",0
2.0,0,[],0,[],0,[],12,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",4,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 2.0, 'finish_time': 151.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 3.0, 'finish_time': 153.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12], 'starting_time': 4.0, 'finish_time': 154.0}, {'job_id': 11, 'nodes': [13, 14], 'starting_time': 21.0, 'finish_time': 171.0}]",0
3.0,0,[],0,[],0,[],7,"[9, 10, 11, 12, 13, 14, 15]",9,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 2.0, 'finish_time': 151.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 3.0, 'finish_time': 153.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12], 'starting_time': 4.0, 'finish_time': 154.0}, {'job_id': 11, 'nodes': [13, 14], 'starting_time': 21.0, 'finish_time': 171.0}]",0
4.0,0,[],0,[],0,[],3,"[13, 14, 15]",13,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 2.0, 'finish_time': 151.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 3.0, 'finish_time': 153.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12], 'starting_time': 4.0, 'finish_time': 154.0}, {'job_id': 11, 'nodes': [13, 14], 'starting_time': 21.0, 'finish_time': 171.0}]",0
21.0,0,[],0,[],0,[],1,[15],15,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 2.0, 'finish_time': 151.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 3.0, 'finish_time': 153.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12], 'starting_time': 4.0, 'finish_time': 154.0}, {'job_id': 11, 'nodes': [13, 14], 'starting_time': 21.0, 'finish_time': 171.0}]",0
30,0,[],0,[],1,[15],0,[],15,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 2.0, 'finish_time': 151.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 3.0, 'finish_time': 153.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12], 'starting_time': 4.0, 'finish_time': 154.0}, {'job_id': 11, 'nodes': [13, 14], 'starting_time': 21.0, 'finish_time': 171.0}]",0
35,1,[15],0,[],0,[],0,[],15,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 2.0, 'finish_time': 151.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 3.0, 'finish_time': 153.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12], 'starting_time': 4.0, 'finish_time': 154.0}, {'job_id': 11, 'nodes': [13, 14], 'starting_time': 21.0, 'finish_time': 171.0}]",0
149.0,0,[],1,[15],0,[],0,[],15,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 2.0, 'finish_time': 151.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 3.0, 'finish_time': 153.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12], 'starting_time': 4.0, 'finish_time': 154.0}, {'job_id': 11, 'nodes': [13, 14], 'starting_time': 21.0, 'finish_time': 171.0}]",0
151.0,0,[],1,[15],0,[],0,[],15,"[{'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 3.0, 'finish_time': 153.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12], 'starting_time': 4.0, 'finish_time': 154.0}, {'job_id': 11, 'nodes': [13, 14], 'starting_time': 21.0, 'finish_time': 171.0}, {'job_id': 4, 'nodes': [0, 1, 2, 3], 'starting_time': 151.0, 'finish_time': 300.0}]",0
153.0,0,[],1,[15],0,[],0,[],15,"[{'job_id': 3, 'nodes': [9, 10, 11, 12], 'starting_time': 4.0, 'finish_time': 154.0}, {'job_id': 11, 'nodes': [13, 14], 'starting_time': 21.0, 'finish_time': 171.0}, {'job_id': 4, 'nodes': [0, 1, 2, 3], 'starting_time': 151.0, 'finish_time': 300.0}, {'job_id': 5, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 153.0, 'finish_time': 304.0}]",0
154.0,0,[],0,[],0,[],0,[],16,"[{'job_id': 11, 'nodes': [13, 14], 'starting_time': 21.0, 'finish_time': 171.0}, {'job_id': 4, 'nodes': [0, 1, 2, 3], 'starting_time': 151.0, 'finish_time': 300.0}, {'job_id': 5, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 153.0, 'finish_time': 304.0}, {'job_id': 6, 'nodes': [9, 10, 11, 12, 15], 'starting_time': 154.0, 'finish_time': 304.0}]",0
171.0,0,[],0,[],0,[],2,"[13, 14]",14,"[{'job_id': 4, 'nodes': [0, 1, 2, 3], 'starting_time': 151.0, 'finish_time': 300.0}, {'job_id': 5, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 153.0, 'finish_time': 304.0}, {'job_id': 6, 'nodes': [9, 10, 11, 12, 15], 'starting_time': 154.0, 'finish_time': 304.0}]",0
201.0,0,[],0,[],2,"[13, 14]",0,[],14,"[{'job_id': 4, 'nodes': [0, 1, 2, 3], 'starting_time': 151.0, 'finish_time': 300.0}, {'job_id': 5, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 153.0, 'finish_time': 304.0}, {'job_id': 6, 'nodes': [9, 10, 11, 12, 15], 'starting_time': 154.0, 'finish_time': 304.0}]",0
206.0,2,"[13, 14]",0,[],0,[],0,[],14,"[{'job_id': 4, 'nodes': [0, 1, 2, 3], 'starting_time': 151.0, 'finish_time': 300.0}, {'job_id': 5, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 153.0, 'finish_time': 304.0}, {'job_id': 6, 'nodes': [9, 10, 11, 12, 15], 'starting_time': 154.0, 'finish_time': 304.0}]",0
295.0,1,[14],1,[13],0,[],0,[],14,"[{'job_id': 4, 'nodes': [0, 1, 2, 3], 'starting_time': 151.0, 'finish_time': 300.0}, {'job_id': 5, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 153.0, 'finish_time': 304.0}, {'job_id': 6, 'nodes': [9, 10, 11, 12, 15], 'starting_time': 154.0, 'finish_time': 304.0}]",0
300.0,1,[14],0,[],0,[],0,[],15,"[{'job_id': 5, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 153.0, 'finish_time': 304.0}, {'job_id': 6, 'nodes': [9, 10, 11, 12, 15], 'starting_time': 154.0, 'finish_time': 304.0}, {'job_id': 7, 'nodes': [0, 1, 2, 3, 13], 'starting_time': 300.0, 'finish_time': 453.0}]",0
304.0,0,[],1,[14],0,[],1,[15],14,"[{'job_id': 7, 'nodes': [0, 1, 2, 3, 13], 'starting_time': 300.0, 'finish_time': 453.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 304.0, 'finish_time': 457.0}, {'job_id': 9, 'nodes': [9, 10, 11, 12], 'starting_time': 304.0, 'finish_time': 451.0}, {'job_id': 16, 'nodes': [14, 15], 'starting_time': 309.0, 'finish_time': 456.0}]",0
309.0,0,[],0,[],0,[],0,[],16,"[{'job_id': 7, 'nodes': [0, 1, 2, 3, 13], 'starting_time': 300.0, 'finish_time': 453.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 304.0, 'finish_time': 457.0}, {'job_id': 9, 'nodes': [9, 10, 11, 12], 'starting_time': 304.0, 'finish_time': 451.0}, {'job_id': 16, 'nodes': [14, 15], 'starting_time': 309.0, 'finish_time': 456.0}]",0
451.0,0,[],0,[],0,[],0,[],16,"[{'job_id': 7, 'nodes': [0, 1, 2, 3, 13], 'starting_time': 300.0, 'finish_time': 453.0}, {'job_id': 8, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 304.0, 'finish_time': 457.0}, {'job_id': 16, 'nodes': [14, 15], 'starting_time': 309.0, 'finish_time': 456.0}, {'job_id': 14, 'nodes': [9, 10, 11, 12], 'starting_time': 451.0, 'finish_time': 603.0}]",0
