job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy
1,w0,100,2,4,149,0,COMPLETED_WALLTIME_REACHED,2.0,149,151.0,0.0,149.0,1.0,0 1 2 3,-1
2,w0,100,3,5,150,0,COMPLETED_WALLTIME_REACHED,3.0,150,153.0,0.0,150.0,1.0,4 5 6 7 8,-1
3,w0,100,4,4,150,0,COMPLETED_WALLTIME_REACHED,4.0,150,154.0,0.0,150.0,1.0,9 10 11 12,-1
11,w0,100,21,2,150,0,COMPLETED_WALLTIME_REACHED,21.0,150,171.0,0.0,150.0,1.0,13 14,-1
4,w0,100,11,4,149,0,COMPLETED_WALLTIME_REACHED,151.0,149,300.0,140.0,289.0,1.9395973154362416,0 1 2 3,-1
5,w0,100,11,5,151,0,COMPLETED_WALLTIME_REACHED,153.0,151,304.0,142.0,293.0,1.9403973509933774,4 5 6 7 8,-1
6,w0,100,11,5,150,0,COMPLETED_WALLTIME_REACHED,154.0,150,304.0,143.0,293.0,1.9533333333333334,9 10 11 12 15,-1
7,w0,100,12,5,153,0,COMPLETED_WALLTIME_REACHED,300.0,153,453.0,288.0,441.0,2.8823529411764706,0 1 2 3 13,-1
8,w0,100,18,5,153,0,COMPLETED_WALLTIME_REACHED,304.0,153,457.0,286.0,439.0,2.869281045751634,4 5 6 7 8,-1
9,w0,100,19,4,147,0,COMPLETED_WALLTIME_REACHED,304.0,147,451.0,285.0,432.0,2.938775510204082,9 10 11 12,-1
16,w0,100,26,2,147,0,COMPLETED_WALLTIME_REACHED,309.0,147,456.0,283.0,430.0,2.925170068027211,14 15,-1
14,w0,100,23,4,152,0,COMPLETED_WALLTIME_REACHED,451.0,152,603.0,428.0,580.0,3.8157894736842106,9 10 11 12,-1
10,w0,100,20,5,153,0,COMPLETED_WALLTIME_REACHED,453.0,153,606.0,433.0,586.0,3.8300653594771243,0 1 2 3 13,-1
41,w0,100,70,2,147,0,COMPLETED_WALLTIME_REACHED,456.0,147,603.0,386.0,533.0,3.6258503401360542,14 15,-1
12,w0,100,21,5,150,0,COMPLETED_WALLTIME_REACHED,457.0,150,607.0,436.0,586.0,3.9066666666666667,4 5 6 7 8,-1
13,w0,100,22,5,150,0,COMPLETED_WALLTIME_REACHED,603.0,150,753.0,581.0,731.0,4.873333333333333,9 10 11 12 14,-1
15,w0,100,26,3,149,0,COMPLETED_WALLTIME_REACHED,606.0,149,755.0,580.0,729.0,4.89261744966443,0 1 2,-1
24,w0,100,40,3,150,0,COMPLETED_WALLTIME_REACHED,606.0,150,756.0,566.0,716.0,4.773333333333333,3 13 15,-1
17,w0,100,31,5,151,0,COMPLETED_WALLTIME_REACHED,607.0,151,758.0,576.0,727.0,4.814569536423841,4 5 6 7 8,-1
18,w0,100,34,4,149,0,COMPLETED_WALLTIME_REACHED,753.0,149,902.0,719.0,868.0,5.825503355704698,9 10 11 12,-1
19,w0,100,35,4,149,0,COMPLETED_WALLTIME_REACHED,755.0,149,904.0,720.0,869.0,5.832214765100671,0 1 2 14,-1
40,w0,100,69,3,153,0,COMPLETED_WALLTIME_REACHED,756.0,153,909.0,687.0,840.0,5.490196078431373,3 13 15,-1
20,w0,100,35,5,153,0,COMPLETED_WALLTIME_REACHED,758.0,153,911.0,723.0,876.0,5.7254901960784315,4 5 6 7 8,-1
21,w0,100,38,4,148,0,COMPLETED_WALLTIME_REACHED,902.0,148,1050.0,864.0,1012.0,6.837837837837838,9 10 11 12,-1
43,w0,100,76,2,151,0,COMPLETED_WALLTIME_REACHED,904.0,151,1055.0,828.0,979.0,6.483443708609271,0 1,-1
22,w0,100,38,5,150,0,COMPLETED_WALLTIME_REACHED,909.0,150,1059.0,871.0,1021.0,6.806666666666667,2 3 13 14 15,-1
23,w0,100,39,5,146,0,COMPLETED_WALLTIME_REACHED,911.0,146,1057.0,872.0,1018.0,6.972602739726027,4 5 6 7 8,-1
25,w0,100,44,5,148,0,COMPLETED_WALLTIME_REACHED,1055.0,148,1203.0,1011.0,1159.0,7.831081081081081,0 1 9 10 11,-1
29,w0,100,48,4,150,0,COMPLETED_WALLTIME_REACHED,1057.0,150,1207.0,1009.0,1159.0,7.726666666666667,4 5 6 7,-1
26,w0,100,45,7,153,0,COMPLETED_WALLTIME_REACHED,1059.0,153,1212.0,1014.0,1167.0,7.627450980392157,2 3 8 12 13 14 15,-1
27,w0,100,45,5,148,0,COMPLETED_WALLTIME_REACHED,1203.0,148,1351.0,1158.0,1306.0,8.824324324324325,0 1 9 10 11,-1
31,w0,100,52,4,149,0,COMPLETED_WALLTIME_REACHED,1207.0,149,1356.0,1155.0,1304.0,8.751677852348994,4 5 6 7,-1
28,w0,100,48,5,151,0,COMPLETED_WALLTIME_REACHED,1212.0,151,1363.0,1164.0,1315.0,8.708609271523178,2 3 8 12 13,-1
30,w0,100,50,7,148,0,COMPLETED_WALLTIME_REACHED,1351.0,148,1499.0,1301.0,1449.0,9.79054054054054,0 1 9 10 11 14 15,-1
38,w0,100,67,4,150,0,COMPLETED_WALLTIME_REACHED,1356.0,150,1506.0,1289.0,1439.0,9.593333333333334,4 5 6 7,-1
32,w0,100,55,5,155,0,COMPLETED_WALLTIME_REACHED,1363.0,155,1518.0,1308.0,1463.0,9.438709677419356,2 3 8 12 13,-1
33,w0,100,59,5,151,0,COMPLETED_WALLTIME_REACHED,1499.0,151,1650.0,1440.0,1591.0,10.536423841059603,0 1 9 10 11,-1
34,w0,100,60,5,151,0,COMPLETED_WALLTIME_REACHED,1506.0,151,1657.0,1446.0,1597.0,10.57615894039735,4 5 6 7 14,-1
35,w0,100,62,5,150,0,COMPLETED_WALLTIME_REACHED,1518.0,150,1668.0,1456.0,1606.0,10.706666666666667,2 3 8 12 13,-1
36,w0,100,63,5,150,0,COMPLETED_WALLTIME_REACHED,1650.0,150,1800.0,1587.0,1737.0,11.58,0 1 9 10 11,-1
37,w0,100,67,6,148,0,COMPLETED_WALLTIME_REACHED,1657.0,148,1805.0,1590.0,1738.0,11.743243243243244,4 5 6 7 14 15,-1
39,w0,100,68,5,150,0,COMPLETED_WALLTIME_REACHED,1668.0,150,1818.0,1600.0,1750.0,11.666666666666666,2 3 8 12 13,-1
42,w0,100,70,4,152,0,COMPLETED_WALLTIME_REACHED,1800.0,152,1952.0,1730.0,1882.0,12.381578947368421,0 1 9 10,-1
44,w0,100,76,4,148,0,COMPLETED_WALLTIME_REACHED,1805.0,148,1953.0,1729.0,1877.0,12.682432432432432,4 5 6 7,-1
49,w0,100,86,3,149,0,COMPLETED_WALLTIME_REACHED,1805.0,149,1954.0,1719.0,1868.0,12.536912751677852,11 14 15,-1
45,w0,100,82,5,148,0,COMPLETED_WALLTIME_REACHED,1818.0,148,1966.0,1736.0,1884.0,12.72972972972973,2 3 8 12 13,-1
57,w0,100,113,2,151,0,COMPLETED_WALLTIME_REACHED,1952.0,151,2103.0,1839.0,1990.0,13.178807947019868,0 1,-1
46,w0,100,83,5,146,0,COMPLETED_WALLTIME_REACHED,1953.0,146,2099.0,1870.0,2016.0,13.808219178082192,4 5 6 7 9,-1
48,w0,100,85,4,145,0,COMPLETED_WALLTIME_REACHED,1954.0,145,2099.0,1869.0,2014.0,13.889655172413793,10 11 14 15,-1
47,w0,100,84,5,148,0,COMPLETED_WALLTIME_REACHED,1966.0,148,2114.0,1882.0,2030.0,13.716216216216216,2 3 8 12 13,-1
