time,node,activity
5.0,13,start_turning_off
5.0,14,start_turning_off
5.0,15,start_turning_off
6.0,13,turned_off
6.0,14,turned_off
6.0,15,turned_off
158.0,10,start_turning_off
158.0,11,start_turning_off
158.0,12,start_turning_off
159.0,10,turned_off
159.0,11,turned_off
159.0,12,turned_off
463.0,0,start_turning_off
463.0,1,start_turning_off
463.0,2,start_turning_off
463.0,3,start_turning_off
463.0,4,start_turning_off
463.0,5,start_turning_off
463.0,6,start_turning_off
463.0,7,start_turning_off
463.0,8,start_turning_off
463.0,9,start_turning_off
464.0,0,turned_off
464.0,1,turned_off
464.0,2,turned_off
464.0,9,turned_off
464.0,3,turned_off
464.0,5,turned_off
464.0,7,turned_off
464.0,8,turned_off
464.0,6,turned_off
464.0,4,turned_off
