time,sleeping,sleeping_nodes,switching_on,switching_on_nodes,switching_off,switching_off_nodes,idle,idle_nodes,computing,computing_nodes,unavailable
0,0,[],0,[],0,[],16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 30.0, 'finish_time': 181.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 50.0, 'finish_time': 200.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 70.0, 'finish_time': 221.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}]",0
20.0,0,[],0,[],16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0,[],0,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 30.0, 'finish_time': 181.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 50.0, 'finish_time': 200.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 70.0, 'finish_time': 221.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}]",0
25.0,0,[],16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0,[],0,[],0,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 30.0, 'finish_time': 181.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 50.0, 'finish_time': 200.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 70.0, 'finish_time': 221.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}]",0
30.0,0,[],0,[],16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0,[],0,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 30.0, 'finish_time': 181.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 50.0, 'finish_time': 200.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 70.0, 'finish_time': 221.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}]",0
35.0,0,[],16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0,[],0,[],0,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 30.0, 'finish_time': 181.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 50.0, 'finish_time': 200.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 70.0, 'finish_time': 221.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}]",0
40.0,0,[],0,[],12,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0,[],4,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 30.0, 'finish_time': 181.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 50.0, 'finish_time': 200.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 70.0, 'finish_time': 221.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}]",0
45.0,0,[],12,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0,[],0,[],4,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 30.0, 'finish_time': 181.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 50.0, 'finish_time': 200.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 70.0, 'finish_time': 221.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}]",0
50.0,0,[],0,[],12,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0,[],4,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 30.0, 'finish_time': 181.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 50.0, 'finish_time': 200.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 70.0, 'finish_time': 221.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}]",0
55.0,0,[],12,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0,[],0,[],4,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 30.0, 'finish_time': 181.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 50.0, 'finish_time': 200.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 70.0, 'finish_time': 221.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}]",0
60.0,0,[],0,[],7,"[9, 10, 11, 12, 13, 14, 15]",0,[],9,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 30.0, 'finish_time': 181.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 46.0, 'finish_time': 196.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 40.0, 'finish_time': 191.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 50.0, 'finish_time': 200.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 55.0, 'finish_time': 206.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 60.0, 'finish_time': 210.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 70.0, 'finish_time': 221.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 80.0, 'finish_time': 231.0}]",0
