time,sleeping,sleeping_nodes,switching_on,switching_on_nodes,switching_off,switching_off_nodes,idle,idle_nodes,computing,computing_nodes,unavailable
0,0,[],0,[],0,[],16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 20.0, 'finish_time': 171.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 51.0, 'finish_time': 201.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}]",0
20.0,0,[],0,[],0,[],12,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",4,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 20.0, 'finish_time': 171.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 51.0, 'finish_time': 201.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}]",0
30,0,[],0,[],12,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0,[],4,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 20.0, 'finish_time': 171.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 51.0, 'finish_time': 201.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}]",0
35,12,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0,[],0,[],0,[],4,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 20.0, 'finish_time': 171.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 51.0, 'finish_time': 201.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}]",0
46.0,7,"[9, 10, 11, 12, 13, 14, 15]",5,"[4, 5, 6, 7, 8]",0,[],0,[],4,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 20.0, 'finish_time': 171.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 51.0, 'finish_time': 201.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}]",0
51.0,7,"[9, 10, 11, 12, 13, 14, 15]",0,[],0,[],0,[],9,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 20.0, 'finish_time': 171.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 51.0, 'finish_time': 201.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}]",0
55.0,1,[15],6,"[9, 10, 11, 12, 13, 14]",0,[],0,[],9,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 20.0, 'finish_time': 171.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 51.0, 'finish_time': 201.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}]",0
60.0,1,[15],0,[],0,[],0,[],15,"[{'job_id': 1, 'nodes': [0, 1, 2, 3], 'starting_time': 20.0, 'finish_time': 171.0}, {'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 51.0, 'finish_time': 201.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}]",0
171.0,1,[15],0,[],0,[],0,[],15,"[{'job_id': 2, 'nodes': [4, 5, 6, 7, 8], 'starting_time': 51.0, 'finish_time': 201.0}, {'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 4, 'nodes': [0, 1, 2, 3], 'starting_time': 171.0, 'finish_time': 322.0}, {'job_id': 4, 'nodes': [0, 1, 2, 3], 'starting_time': 171.0, 'finish_time': 322.0}]",0
201.0,1,[15],0,[],0,[],1,[8],14,"[{'job_id': 3, 'nodes': [9, 10, 11, 12, 13, 14], 'starting_time': 60.0, 'finish_time': 211.0}, {'job_id': 4, 'nodes': [0, 1, 2, 3], 'starting_time': 171.0, 'finish_time': 322.0}, {'job_id': 4, 'nodes': [0, 1, 2, 3], 'starting_time': 171.0, 'finish_time': 322.0}, {'job_id': 5, 'nodes': [4, 5, 6, 7], 'starting_time': 201.0, 'finish_time': 353.0}, {'job_id': 5, 'nodes': [4, 5, 6, 7], 'starting_time': 201.0, 'finish_time': 353.0}]",0
