type,starting_time,finish_time,allocated_resources,job_id,submission_time
idle,0.0,0.0,0 1 2 3 4,-1,0.0
idle,0.0,2.0,5 6 7 8,-1,0.0
idle,0.0,6.0,9 10 11 12 13,-1,0.0
idle,0.0,30.0,14 15,-1,0.0
computing,0.0,148.0,0 1 2 3 4,1,0.0
computing,2.0,152.0,5 6 7 8,2,2.0
computing,6.0,153.0,9 10 11 12 13,3,6.0
switching_off,30.0,35.0,14 15,-2,30.0
sleeping,35.0,294.0,14 15,-4,35.0
idle,148.0,148.0,0 1 2 3,-1,148.0
idle,148.0,152.0,4,-1,148.0
computing,148.0,297.0,0 1 2 3,4,6.0
idle,152.0,152.0,5 6 7 8,-1,152.0
computing,152.0,299.0,4 5 6 7 8,5,10.0
idle,153.0,153.0,9 10 11 12,-1,153.0
idle,153.0,183.0,13,-1,153.0
computing,153.0,301.0,9 10 11 12,6,11.0
switching_off,183.0,188.0,13,-2,183.0
sleeping,188.0,292.0,13,-4,188.0
switching_on,292.0,297.0,13,-3,292.0
switching_on,294.0,299.0,14 15,-3,294.0
idle,297.0,297.0,0 1 2 3 13,-1,297.0
computing,297.0,448.0,0 1 2 3 13,7,13.0
idle,299.0,299.0,4 5 6 7 8 14,-1,299.0
idle,299.0,301.0,15,-1,299.0
computing,299.0,445.0,7 8 14,13,26.0
computing,299.0,448.0,4 5 6,8,16.0
idle,301.0,301.0,9 10 11 12,-1,301.0
computing,301.0,451.0,9 10 11 12 15,9,16.0
idle,445.0,445.0,7 8 14,-1,445.0
computing,445.0,592.0,7 8 14,29,59.0
idle,448.0,448.0,0 1 2 3 4 5 6 13,-1,448.0
computing,448.0,595.0,0 1 2 3,10,22.0
computing,448.0,597.0,4 5 6 13,11,22.0
idle,451.0,451.0,9 10 11 12 15,-1,451.0
computing,451.0,601.0,9 10 11 12 15,12,23.0
idle,592.0,595.0,7,-1,592.0
idle,592.0,597.0,8,-1,592.0
idle,592.0,622.0,14,-1,592.0
idle,595.0,595.0,0 1 2 3,-1,595.0
computing,595.0,745.0,0 1 2 3 7,14,26.0
idle,597.0,597.0,4 5 6 13,-1,597.0
computing,597.0,748.0,4 5 6 8 13,15,31.0
idle,601.0,601.0,9 10 11 12,-1,601.0
idle,601.0,631.0,15,-1,601.0
computing,601.0,753.0,9 10 11 12,16,32.0
switching_off,622.0,627.0,14,-2,622.0
sleeping,627.0,743.0,14,-4,627.0
switching_off,631.0,636.0,15,-2,631.0
sleeping,636.0,748.0,15,-4,636.0
switching_on,743.0,748.0,14,-3,743.0
idle,745.0,745.0,0 1 2 3 7,-1,745.0
computing,745.0,896.0,0 1 2 3 7,17,33.0
idle,748.0,748.0,4 5 6 8 13 14,-1,748.0
switching_on,748.0,753.0,15,-3,748.0
computing,748.0,898.0,4 5 6 8 13 14,18,41.0
idle,753.0,753.0,9 10 11 12 15,-1,753.0
computing,753.0,903.0,9 10 11 12 15,19,42.0
idle,896.0,896.0,0 1 2 3,-1,896.0
idle,896.0,898.0,7,-1,896.0
computing,896.0,1044.0,0 1 2 3,20,46.0
idle,898.0,898.0,4 5 6 8,-1,898.0
idle,898.0,903.0,13 14,-1,898.0
computing,898.0,1048.0,4 5 6 7 8,21,47.0
idle,903.0,903.0,9 10 11 12,-1,903.0
idle,903.0,933.0,15,-1,903.0
computing,903.0,1051.0,9 10 11 12 13 14,22,50.0
switching_off,933.0,938.0,15,-2,933.0
sleeping,938.0,1043.0,15,-4,938.0
switching_on,1043.0,1048.0,15,-3,1043.0
idle,1044.0,1044.0,0 1 2 3,-1,1044.0
computing,1044.0,1195.0,0 1 2 3,24,53.0
idle,1048.0,1048.0,4 5 6 7 8 15,-1,1048.0
computing,1048.0,1195.0,4 5 6 7 8 15,23,51.0
idle,1051.0,1051.0,9 10 11 12 13,-1,1051.0
idle,1051.0,1081.0,14,-1,1051.0
computing,1051.0,1200.0,9 10 11 12 13,25,54.0
switching_off,1081.0,1086.0,14,-2,1081.0
sleeping,1086.0,1487.0,14,-4,1086.0
idle,1195.0,1195.0,0 1 2 3 4 5 6 7 8,-1,1195.0
idle,1195.0,1200.0,15,-1,1195.0
computing,1195.0,1344.0,4 5 6 7 8,27,57.0
computing,1195.0,1345.0,0 1 2 3,26,56.0
idle,1200.0,1200.0,9 10 11 12 13,-1,1200.0
computing,1200.0,1351.0,9 10 11 12 13 15,28,58.0
idle,1344.0,1344.0,4 5 6 7 8,-1,1344.0
computing,1344.0,1492.0,4 5 6 7 8,30,59.0
idle,1345.0,1345.0,0 1 2 3,-1,1345.0
computing,1345.0,1496.0,0 1 2 3,31,62.0
idle,1351.0,1351.0,9 10 11 12 13 15,-1,1351.0
computing,1351.0,1499.0,9 10 11 12 13 15,32,63.0
switching_on,1487.0,1492.0,14,-3,1487.0
